"TransmitSubstrateVSlow070622 - RawData"
"Wavelength nm.","T%"
190.00,56.89325
191.00,54.74098
192.00,53.45291
193.00,53.38087
194.00,51.38130
195.00,51.09953
196.00,50.52111
197.00,50.75369
198.00,50.35066
199.00,50.65874
200.00,50.72160
201.00,51.01289
202.00,51.34659
203.00,51.85301
204.00,52.18292
205.00,52.84784
206.00,52.76945
207.00,53.28653
208.00,53.52017
209.00,53.81190
210.00,53.85664
211.00,53.84513
212.00,54.07475
213.00,54.09120
214.00,54.43006
215.00,54.16360
216.00,54.11089
217.00,53.90296
218.00,53.87661
219.00,53.92805
220.00,54.08691
221.00,53.90249
222.00,53.88360
223.00,54.04724
224.00,54.00198
225.00,54.07788
226.00,54.11335
227.00,54.24138
228.00,54.31314
229.00,54.39935
230.00,54.50326
231.00,54.73218
232.00,54.87603
233.00,54.95939
234.00,55.13616
235.00,55.27731
236.00,55.57131
237.00,55.84627
238.00,55.86772
239.00,56.04971
240.00,56.34299
241.00,56.49815
242.00,56.66943
243.00,56.89504
244.00,57.14139
245.00,57.22849
246.00,57.40874
247.00,57.46649
248.00,57.76693
249.00,57.87781
250.00,58.05722
251.00,58.17479
252.00,58.25101
253.00,58.35087
254.00,58.55908
255.00,58.58980
256.00,58.60324
257.00,58.77221
258.00,58.83074
259.00,58.79241
260.00,58.79357
261.00,58.86718
262.00,58.95878
263.00,59.00668
264.00,59.07369
265.00,58.97603
266.00,59.01561
267.00,59.01993
268.00,59.02925
269.00,59.06314
270.00,59.09941
271.00,59.18301
272.00,59.18928
273.00,59.13764
274.00,59.18689
275.00,59.25940
276.00,59.27145
277.00,59.30089
278.00,59.34571
279.00,59.37790
280.00,59.43665
281.00,59.53561
282.00,59.55428
283.00,59.57393
284.00,59.72317
285.00,59.87179
286.00,59.94754
287.00,59.94179
288.00,60.04727
289.00,60.20553
290.00,60.23661
291.00,60.31901
292.00,60.44098
293.00,60.56725
294.00,60.65216
295.00,60.64562
296.00,60.69722
297.00,60.82143
298.00,60.82632
299.00,60.92120
300.00,61.07322
301.00,61.09421
302.00,61.02196
303.00,61.23405
304.00,61.16009
305.00,61.23911
306.00,61.26279
307.00,61.34400
308.00,61.35907
309.00,61.40887
310.00,61.35797
311.00,61.46133
312.00,61.53957
313.00,61.63503
314.00,61.67360
315.00,61.72220
316.00,61.64652
317.00,61.75032
318.00,61.80361
319.00,61.76915
320.00,61.87153
321.00,61.91339
322.00,61.97024
323.00,61.90569
324.00,61.94760
325.00,61.99307
326.00,62.02797
327.00,62.00565
328.00,62.09826
329.00,62.08977
330.00,62.10335
331.00,62.17193
332.00,62.10961
333.00,62.15634
334.00,62.15159
335.00,62.21291
336.00,62.28746
337.00,62.31677
338.00,62.34467
339.00,62.33994
340.00,62.36201
341.00,62.46835
342.00,62.41244
343.00,62.48794
344.00,62.44285
345.00,62.46498
346.00,62.54964
347.00,62.57077
348.00,62.54517
349.00,62.58918
350.00,62.55101
351.00,62.60769
352.00,62.65714
353.00,62.63074
354.00,62.71510
355.00,62.77919
356.00,62.72854
357.00,62.76835
358.00,62.73754
359.00,62.81004
360.00,62.85393
361.00,62.83399
362.00,62.85699
363.00,62.87524
364.00,62.88194
365.00,62.88698
366.00,62.90563
367.00,62.89337
368.00,62.96628
369.00,62.94686
370.00,62.97544
371.00,62.97879
372.00,63.05472
373.00,63.08640
374.00,63.01920
375.00,63.05401
376.00,63.10122
377.00,63.12493
378.00,63.09471
379.00,63.11866
380.00,63.18637
381.00,63.17960
382.00,63.21147
383.00,63.14721
384.00,63.18747
385.00,63.28248
386.00,63.24043
387.00,63.27302
388.00,63.25926
389.00,63.27249
390.00,63.32635
391.00,63.35046
392.00,63.33790
393.00,63.34928
394.00,63.38010
395.00,63.39730
396.00,63.39975
397.00,63.45139
398.00,63.46532
399.00,63.47729
400.00,63.51548
401.00,63.48373
402.00,63.51927
403.00,63.50621
404.00,63.54012
405.00,63.56647
406.00,63.56813
407.00,63.58253
408.00,63.59305
409.00,63.61396
410.00,63.64800
411.00,63.65932
412.00,63.67977
413.00,63.70409
414.00,63.71084
415.00,63.73923
416.00,63.75580
417.00,63.77099
418.00,63.78703
419.00,63.79886
420.00,63.86175
421.00,63.81562
422.00,63.84798
423.00,63.89134
424.00,63.87238
425.00,63.90736
426.00,63.90633
427.00,63.91500
428.00,63.91565
429.00,63.94733
430.00,63.98922
431.00,63.97647
432.00,63.97256
433.00,63.98926
434.00,64.01575
435.00,64.03621
436.00,64.03393
437.00,64.04410
438.00,64.08215
439.00,64.09553
440.00,64.07841
441.00,64.08886
442.00,64.11093
443.00,64.12180
444.00,64.14503
445.00,64.15671
446.00,64.17351
447.00,64.19012
448.00,64.20000
449.00,64.22057
450.00,64.22776
451.00,64.26243
452.00,64.25658
453.00,64.26409
454.00,64.27651
455.00,64.29466
456.00,64.31752
457.00,64.30109
458.00,64.33497
459.00,64.37212
460.00,64.36667
461.00,64.38233
462.00,64.38634
463.00,64.41489
464.00,64.41162
465.00,64.43238
466.00,64.43747
467.00,64.45029
468.00,64.47962
469.00,64.46221
470.00,64.50027
471.00,64.50823
472.00,64.52474
473.00,64.53700
474.00,64.52727
475.00,64.56110
476.00,64.58361
477.00,64.58488
478.00,64.59441
479.00,64.60296
480.00,64.62651
481.00,64.62181
482.00,64.64686
483.00,64.65832
484.00,64.63315
485.00,64.69029
486.00,64.67680
487.00,64.70835
488.00,64.72788
489.00,64.74405
490.00,64.73591
491.00,64.75028
492.00,64.76077
493.00,64.80661
494.00,64.77481
495.00,64.81729
496.00,64.83940
497.00,64.83719
498.00,64.83155
499.00,64.88216
500.00,64.90158
501.00,64.86900
502.00,64.91438
503.00,64.91223
504.00,64.93274
505.00,64.93728
506.00,64.95310
507.00,64.98869
508.00,64.97962
509.00,64.99197
510.00,65.01492
511.00,65.03679
512.00,65.03742
513.00,65.04231
514.00,65.06498
515.00,65.07709
516.00,65.08155
517.00,65.11099
518.00,65.10596
519.00,65.10507
520.00,65.14307
521.00,65.14996
522.00,65.16078
523.00,65.17460
524.00,65.17450
525.00,65.19791
526.00,65.23257
527.00,65.23517
528.00,65.28102
529.00,65.24767
530.00,65.22975
531.00,65.27610
532.00,65.25661
533.00,65.30685
534.00,65.34118
535.00,65.32990
536.00,65.35046
537.00,65.34073
538.00,65.37105
539.00,65.35825
540.00,65.35386
541.00,65.39323
542.00,65.39442
543.00,65.42532
544.00,65.40702
545.00,65.46158
546.00,65.46665
547.00,65.47596
548.00,65.49103
549.00,65.48824
550.00,65.49738
551.00,65.54909
552.00,65.54707
553.00,65.56000
554.00,65.55459
555.00,65.58659
556.00,65.58692
557.00,65.59805
558.00,65.60906
559.00,65.61792
560.00,65.65483
561.00,65.64884
562.00,65.68726
563.00,65.67326
564.00,65.68325
565.00,65.72407
566.00,65.69009
567.00,65.70934
568.00,65.72467
569.00,65.76070
570.00,65.74374
571.00,65.77407
572.00,65.77324
573.00,65.78988
574.00,65.80607
575.00,65.84165
576.00,65.82240
577.00,65.80212
578.00,65.87483
579.00,65.87263
