"ItalySlowStock_2 - RawData"
"Wavelength nm.","T%"
200.00,0.40254
201.00,0.46173
202.00,0.51962
203.00,0.54037
204.00,0.57583
205.00,0.44311
206.00,0.38519
207.00,0.37231
208.00,0.30264
209.00,0.37290
210.00,0.34582
211.00,0.35141
212.00,0.34213
213.00,0.34600
214.00,0.36646
215.00,0.34504
216.00,0.32614
217.00,0.35853
218.00,0.30407
219.00,0.35875
220.00,0.35053
221.00,0.35276
222.00,0.32876
223.00,0.34805
224.00,0.31575
225.00,0.33979
226.00,0.31777
227.00,0.30196
228.00,0.32594
229.00,0.30912
230.00,0.33075
231.00,0.32734
232.00,0.30365
233.00,0.33120
234.00,0.31653
235.00,0.33860
236.00,0.35011
237.00,0.36690
238.00,0.37806
239.00,0.43502
240.00,0.46197
241.00,0.54654
242.00,0.61755
243.00,0.75992
244.00,0.89869
245.00,1.13535
246.00,1.44933
247.00,1.78270
248.00,2.27727
249.00,2.92643
250.00,3.72319
251.00,4.72269
252.00,5.94967
253.00,7.39452
254.00,8.98414
255.00,10.83914
256.00,12.96359
257.00,15.19656
258.00,17.55342
259.00,20.08139
260.00,22.70788
261.00,25.19005
262.00,27.66570
263.00,30.13766
264.00,32.42180
265.00,34.74820
266.00,36.87718
267.00,38.75393
268.00,40.77525
269.00,42.37185
270.00,44.29192
271.00,45.59103
272.00,47.18656
273.00,48.22976
274.00,49.11453
275.00,50.50563
276.00,51.23500
277.00,52.07467
278.00,52.60576
279.00,53.58850
280.00,53.90111
281.00,54.40001
282.00,54.82628
283.00,55.42133
284.00,55.72959
285.00,56.36469
286.00,56.70657
287.00,56.92300
288.00,57.35965
289.00,57.75883
290.00,58.14188
291.00,58.18624
292.00,58.25082
293.00,58.37725
294.00,58.60180
295.00,58.77942
296.00,58.83338
297.00,58.89906
298.00,58.96149
299.00,59.06391
300.00,59.06504
301.00,59.32758
302.00,59.22431
303.00,59.46631
304.00,59.61496
305.00,59.60707
306.00,59.75296
307.00,59.57511
308.00,60.10581
309.00,59.82611
310.00,59.95497
311.00,60.30018
312.00,60.39226
313.00,60.08411
314.00,60.47823
315.00,60.35894
316.00,60.68090
317.00,60.52890
318.00,60.26886
319.00,60.41548
320.00,60.90609
321.00,60.84238
322.00,60.66892
323.00,60.80448
324.00,60.81364
325.00,60.81730
326.00,60.96780
327.00,60.66636
