"ItalySlowStock - RawData"
"Wavelength nm.","T%"
200.00,0.40009
201.00,0.38037
202.00,0.32138
203.00,0.34091
204.00,0.30596
205.00,0.30443
206.00,0.25478
207.00,0.30555
208.00,0.31990
209.00,0.28928
210.00,0.24320
211.00,0.26244
212.00,0.25023
213.00,0.23968
214.00,0.22503
215.00,0.20423
216.00,0.24216
217.00,0.21355
218.00,0.24413
219.00,0.21480
220.00,0.22830
221.00,0.22831
222.00,0.22772
223.00,0.27572
224.00,0.23047
225.00,0.23511
226.00,0.23508
227.00,0.21953
228.00,0.19939
229.00,0.24411
230.00,0.22662
231.00,0.22581
232.00,0.22403
233.00,0.20853
234.00,0.20406
235.00,0.21556
236.00,0.21124
237.00,0.21033
238.00,0.25301
239.00,0.25709
240.00,0.28662
241.00,0.35149
242.00,0.42723
243.00,0.48663
244.00,0.64655
245.00,0.80886
246.00,1.03217
247.00,1.32969
248.00,1.75414
249.00,2.30274
250.00,2.97525
251.00,3.88790
252.00,4.98471
253.00,6.34963
254.00,7.88240
255.00,9.70760
256.00,11.70107
257.00,13.93361
258.00,16.19442
259.00,18.63038
260.00,21.28629
261.00,23.79818
262.00,26.39239
263.00,28.71385
264.00,31.15873
265.00,33.54689
266.00,35.58363
267.00,37.82871
268.00,39.83358
269.00,41.64147
270.00,43.42845
271.00,44.94412
272.00,46.39105
273.00,47.52344
274.00,48.58491
275.00,49.64283
276.00,50.33143
277.00,51.21901
278.00,51.92729
279.00,52.82237
280.00,53.31972
281.00,54.06354
282.00,54.46612
283.00,55.20283
284.00,55.50373
285.00,56.41170
286.00,56.55387
287.00,56.69825
288.00,57.15204
289.00,57.48682
290.00,57.52745
291.00,57.83058
292.00,57.78863
293.00,58.04771
294.00,57.91079
295.00,58.04387
296.00,58.23000
297.00,58.10254
298.00,58.33731
299.00,58.59357
300.00,58.51743
301.00,58.95838
302.00,59.08046
303.00,59.44887
304.00,59.24388
305.00,59.55798
306.00,59.76261
307.00,60.23411
308.00,59.88405
309.00,59.91884
310.00,60.05430
311.00,59.97975
312.00,60.02014
313.00,59.59891
314.00,60.20050
315.00,60.21810
316.00,60.20279
317.00,59.91582
318.00,59.96633
319.00,59.89372
320.00,60.54951
321.00,60.26233
322.00,60.41499
323.00,60.16207
324.00,60.42738
325.00,60.42032
326.00,60.56558
327.00,60.71305
328.00,60.79838
329.00,60.97035
330.00,60.72284
331.00,60.90167
332.00,61.18525
333.00,61.00916
334.00,61.28669
335.00,61.21391
336.00,61.30770
337.00,61.41332
338.00,61.21724
339.00,61.22934
340.00,61.30537
341.00,61.26559
342.00,61.22720
343.00,61.24180
344.00,61.19787
345.00,61.25686
346.00,61.37858
347.00,61.44142
348.00,61.16617
349.00,61.45694
350.00,61.66565
351.00,61.57669
352.00,61.61917
353.00,61.62956
354.00,61.67905
355.00,61.85810
356.00,61.92757
357.00,61.92604
358.00,62.00413
359.00,61.88134
360.00,61.95404
361.00,62.03817
362.00,62.10763
363.00,61.97396
364.00,62.25897
365.00,62.15215
