ItalySlowCustom13_6-RawData
Wavelength nm.,T%
200,0.31549
201,0.39123
202,0.24143
203,0.31571
204,0.31996
205,0.32998
206,0.29841
207,0.17849
208,0.21679
209,0.23507
210,0.30025
211,0.1918
212,0.25717
213,0.20748
214,0.23408
215,0.18281
216,0.22613
217,0.20782
218,0.18501
219,0.22787
220,0.20254
221,0.23415
222,0.24529
223,0.24287
224,0.20598
225,0.22614
226,0.20831
227,0.1793
228,0.16887
229,0.20416
230,0.2031
231,0.21575
232,0.24102
233,0.206
234,0.18163
235,0.19092
236,0.20368
237,0.19235
238,0.25414
239,0.25077
240,0.26776
241,0.31366
242,0.39609
243,0.45982
244,0.61096
245,0.77006
246,0.99426
247,1.30447
248,1.66149
249,2.20233
250,2.87001
251,3.70686
252,4.84135
253,6.09354
254,7.57273
255,9.33852
256,11.25382
257,13.38617
258,15.87849
259,18.1865
260,20.63227
261,23.11653
262,25.55051
263,28.06755
264,30.39691
265,32.74885
266,34.7652
267,36.69175
268,38.63916
269,40.62584
270,42.2047
271,43.55451
272,45.17423
273,46.22677
274,47.07234
275,48.28002
276,48.82263
277,49.74248
278,50.76867
279,51.17494
280,51.76395
281,52.2374
282,52.49999
283,52.93734
284,53.27049
285,53.91384
286,53.99844
287,54.26323
288,55.00106
289,55.1076
290,55.04925
291,55.6089
292,55.55927
293,55.75847
294,56.10631
295,55.94915
296,56.55496
297,56.62866
298,56.4252
299,56.49024
300,56.97904
301,56.51322
302,56.78547
303,56.78595
304,57.09941
305,57.16762
306,57.57624
307,57.37773
308,57.50052
309,57.36191
310,57.93585
311,57.41531
312,57.96323
313,58.22529
314,58.32971
315,58.30854
316,58.52367
317,58.22178
318,58.57533
319,58.65085
320,58.82055
321,58.81185
322,58.81963
323,59.15522
324,58.75825
325,58.86083
326,58.44862
327,59.07772
328,58.69299
329,58.75592
330,59.03477
331,58.55206
332,58.85063
333,58.6827
334,59.00753
335,58.86931
336,59.04384
337,58.92638
338,59.17293
339,59.06749
340,58.89844
341,59.20449
342,59.44108
343,59.87496
344,60.00758
345,60.06871
346,60.16868
347,60.22974
348,60.40655
349,60.32818
350,60.41377
351,60.52746
352,60.51899
353,60.62287
354,60.59076
355,60.52709
356,60.39008
357,60.76416
358,60.56799
359,60.37361
360,60.53941
361,60.12235
362,60.20868
363,60.30942
364,60.14739
365,60.02778
366,60.08058
367,60.13895
368,60.28299
369,60.21032
370,60.30295
371,60.14808
372,60.31681
373,60.41123
374,60.64019
375,60.47179
376,60.74442
377,60.74133
378,60.80011
379,61.08761
380,60.96729
381,61.29544
382,61.34283
383,61.49631
384,61.5306
385,61.76839
386,61.58264
387,61.73213
388,61.86944
389,61.91269
390,61.94378
391,61.94177
392,61.83352
393,61.96293
394,61.91835
395,62.01061
396,61.84412
397,61.93871
398,61.71897
399,61.70548
400,61.60648
401,61.47532
402,61.53615
403,61.42103
404,61.54887
405,61.45179
406,61.50436
407,61.47076
408,61.35944
409,61.3709
410,61.18471
411,61.29721
412,61.11331
413,61.25832036
414,61.20683102
415,61.21958546
416,61.338431
417,61.4806398
418,61.48425766
419,61.566
420,61.63785056
421,61.82445663
422,61.8499728
423,61.9823169
424,62.0249709
425,62.23110815
426,62.34989915
427,62.36809464
428,62.58380712
429,62.71346349
430,62.78995398
431,62.76112246
432,63.06338206
433,63.20094062
434,63.26631236
435,63.31041398
436,63.502994
437,63.57903026
438,63.34534782
439,63.69999894
440,63.66798891
441,63.72576981
442,63.59495346
443,63.64636767
444,63.70842573
445,63.562555
446,63.4829692
447,63.4712876
448,63.3692794
449,63.462007
450,63.366849
451,63.432411
452,63.1777286
453,63.42568191
454,63.10556199
455,63.06019074
456,63.0239526
457,62.9438222
458,62.8499088
459,62.77280679
460,62.78051745
461,62.4389948
462,62.5434432
463,62.570207
464,62.5058112
465,62.338731
466,62.2771184
467,62.3410046
468,62.281842
469,62.2022464
470,62.1193384
471,62.2428968
472,62.2298628
473,62.38036755
474,62.43366528
475,62.37397143
476,62.50377954
477,62.57507675
478,62.69710637
479,62.74368091
480,62.65597765
481,62.8822621
482,62.97017022
483,63.09458694
484,63.36111642
485,63.31817205
486,63.58414515
487,63.83665663
488,63.7742358
489,63.9683451
490,63.9939366
491,64.21812794
492,64.26897615
493,64.4597932
494,64.47479694
495,64.49270431
496,64.64294592
497,64.77683392
498,64.8505445
499,64.90517833
500,65.02274066
501,65.07826639
502,65.09931552
503,65.21044928
504,65.2383344
505,65.16238688
506,65.33999456
507,65.31321056
508,65.36931808
509,65.48794287
510,65.45055642
511,65.33094957
512,65.41485807
513,65.39861972
514,65.4995366
515,65.65598136
516,65.50863312
517,65.39524394
518,65.4229406
519,65.45964834
520,65.40747705
521,65.44226223
522,65.44224225
523,65.20789683
524,65.16949527
525,65.04765723
526,65.04283206
527,65.03148342
528,64.84510998
529,64.71660861
530,64.85046462
531,64.63812717
532,64.42097984
533,64.34978252
534,64.29723782
