"ResinTtansmittance - RawData"
"Wavelength nm.","T%"
200.00,0.00607
200.20,0.01441
200.40,0.02156
200.60,0.02827
200.80,0.01818
201.00,0.01947
201.20,0.01881
201.40,0.02917
201.60,0.03309
201.80,0.03808
202.00,0.02986
202.20,0.02319
202.40,0.00786
202.60,0.00251
202.80,0.00549
203.00,0.00585
203.20,0.01390
203.40,0.01213
203.60,0.01303
203.80,0.01054
204.00,0.01069
204.20,0.00964
204.40,0.01325
204.60,0.01437
204.80,0.02044
205.00,0.01778
205.20,0.01601
205.40,0.01687
205.60,0.00922
205.80,0.00828
206.00,0.01040
206.20,0.01107
206.40,0.01418
206.60,0.01720
206.80,0.02047
207.00,0.02529
207.20,0.02044
207.40,0.02316
207.60,0.02884
207.80,0.02301
208.00,0.02307
208.20,0.02208
208.40,0.01705
208.60,0.01416
208.80,0.01574
209.00,0.01202
209.20,0.01937
209.40,0.01726
209.60,0.01976
209.80,0.01789
210.00,0.01166
210.20,0.00964
210.40,0.01575
210.60,0.01720
210.80,0.02225
211.00,0.03239
211.20,0.02947
211.40,0.02600
211.60,0.01865
211.80,0.01688
212.00,0.01328
212.20,0.01579
212.40,0.01342
212.60,0.01774
212.80,0.01679
213.00,0.01710
213.20,0.01620
213.40,0.01369
213.60,0.00956
213.80,0.00926
214.00,0.01056
214.20,0.01000
214.40,0.01460
214.60,0.01602
214.80,0.01471
215.00,0.01323
215.20,0.01337
215.40,0.01059
215.60,0.01179
215.80,0.01300
216.00,0.01411
216.20,0.01356
216.40,0.01270
216.60,0.01207
216.80,0.01186
217.00,0.01129
217.20,0.01204
217.40,0.01420
217.60,0.01444
217.80,0.01664
218.00,0.01515
218.20,0.01526
218.40,0.01621
218.60,0.01489
218.80,0.01473
219.00,0.01714
219.20,0.01941
219.40,0.01794
219.60,0.01942
219.80,0.01857
220.00,0.01592
220.20,0.01197
220.40,0.01238
220.60,0.01018
220.80,0.00989
221.00,0.01032
221.20,0.01225
221.40,0.01252
221.60,0.01511
221.80,0.01560
222.00,0.01476
222.20,0.01392
222.40,0.01376
222.60,0.01158
222.80,0.01343
223.00,0.01306
223.20,0.01165
223.40,0.01270
223.60,0.01456
223.80,0.01331
224.00,0.01490
224.20,0.01797
224.40,0.01722
224.60,0.01398
224.80,0.01311
225.00,0.01440
225.20,0.01376
225.40,0.01390
225.60,0.01762
225.80,0.01687
226.00,0.01770
226.20,0.01697
226.40,0.01538
226.60,0.01487
226.80,0.01676
227.00,0.01568
227.20,0.01812
227.40,0.01999
227.60,0.01979
227.80,0.01940
228.00,0.01879
228.20,0.01546
228.40,0.01413
228.60,0.01506
228.80,0.01588
229.00,0.01633
229.20,0.01581
229.40,0.01757
229.60,0.01623
229.80,0.01717
230.00,0.01739
230.20,0.02125
230.40,0.02031
230.60,0.02060
230.80,0.01852
231.00,0.01795
231.20,0.01524
231.40,0.01694
231.60,0.01834
231.80,0.01799
232.00,0.01950
232.20,0.02195
232.40,0.02265
232.60,0.02086
232.80,0.02122
233.00,0.02048
233.20,0.01803
233.40,0.01612
233.60,0.01818
233.80,0.01779
234.00,0.01800
234.20,0.01853
234.40,0.01767
234.60,0.01571
234.80,0.01751
235.00,0.01668
235.20,0.01779
235.40,0.01852
235.60,0.02176
235.80,0.01989
236.00,0.01920
236.20,0.01902
236.40,0.02044
236.60,0.01767
236.80,0.01879
237.00,0.01882
237.20,0.01750
237.40,0.01668
237.60,0.01639
237.80,0.01479
238.00,0.01559
238.20,0.01513
238.40,0.01485
238.60,0.01560
238.80,0.01587
239.00,0.01522
239.20,0.01585
239.40,0.01475
239.60,0.01391
239.80,0.01321
240.00,0.01300
240.20,0.01283
240.40,0.01313
240.60,0.01451
240.80,0.01502
241.00,0.01611
241.20,0.01720
241.40,0.01827
241.60,0.01749
241.80,0.01861
242.00,0.01624
242.20,0.01480
242.40,0.01362
242.60,0.01234
242.80,0.01115
243.00,0.01285
243.20,0.01459
243.40,0.01411
243.60,0.01596
243.80,0.01614
244.00,0.01678
244.20,0.01627
244.40,0.01622
244.60,0.01524
244.80,0.01435
245.00,0.01275
245.20,0.01174
245.40,0.01151
245.60,0.01104
245.80,0.01076
246.00,0.01094
246.20,0.01119
246.40,0.01289
246.60,0.01395
246.80,0.01426
247.00,0.01457
247.20,0.01552
247.40,0.01436
247.60,0.01406
247.80,0.01469
248.00,0.01473
248.20,0.01303
248.40,0.01348
248.60,0.01236
248.80,0.01214
249.00,0.01193
249.20,0.01117
249.40,0.00973
249.60,0.01041
249.80,0.01012
250.00,0.00918
250.20,0.00898
250.40,0.00990
250.60,0.01042
250.80,0.00987
251.00,0.00975
251.20,0.01071
251.40,0.01116
251.60,0.00986
251.80,0.00992
252.00,0.01180
252.20,0.01131
252.40,0.00986
252.60,0.00999
252.80,0.01044
253.00,0.00836
253.20,0.01045
253.40,0.01090
253.60,0.01181
253.80,0.01166
254.00,0.01239
254.20,0.01102
254.40,0.01070
254.60,0.00996
254.80,0.00995
255.00,0.00984
255.20,0.00933
255.40,0.00955
255.60,0.00979
255.80,0.00899
256.00,0.00996
256.20,0.00960
256.40,0.00956
256.60,0.00890
256.80,0.01076
257.00,0.00991
257.20,0.01034
257.40,0.01051
257.60,0.01135
257.80,0.01023
258.00,0.00995
258.20,0.00940
258.40,0.00961
258.60,0.00939
258.80,0.01137
259.00,0.01110
259.20,0.01213
259.40,0.01115
259.60,0.01015
259.80,0.00796
260.00,0.00934
260.20,0.00954
260.40,0.01088
260.60,0.01134
260.80,0.01194
261.00,0.01103
261.20,0.01035
261.40,0.01017
261.60,0.01022
261.80,0.01031
262.00,0.01131
262.20,0.01140
262.40,0.01177
262.60,0.01181
262.80,0.01131
263.00,0.01004
263.20,0.01112
263.40,0.01094
263.60,0.01204
263.80,0.01179
264.00,0.01258
264.20,0.01145
264.40,0.01178
264.60,0.01147
264.80,0.01241
265.00,0.01273
265.20,0.01176
265.40,0.01149
265.60,0.01233
265.80,0.01239
266.00,0.01156
266.20,0.01309
266.40,0.01276
266.60,0.01159
266.80,0.01107
267.00,0.01219
267.20,0.01228
267.40,0.01246
267.60,0.01316
267.80,0.01392
268.00,0.01319
268.20,0.01324
268.40,0.01285
268.60,0.01239
268.80,0.01130
269.00,0.01144
269.20,0.00993
269.40,0.00958
269.60,0.00868
269.80,0.00903
270.00,0.00857
270.20,0.00879
270.40,0.00918
270.60,0.00969
270.80,0.00865
271.00,0.00851
271.20,0.00871
271.40,0.00875
271.60,0.00904
271.80,0.01045
272.00,0.01023
272.20,0.01035
272.40,0.01044
272.60,0.00956
272.80,0.00874
273.00,0.00820
273.20,0.00890
273.40,0.00806
273.60,0.00873
273.80,0.00891
274.00,0.00986
274.20,0.00968
274.40,0.01006
274.60,0.01044
274.80,0.01025
275.00,0.01041
275.20,0.01013
275.40,0.01058
275.60,0.01060
275.80,0.01112
276.00,0.01220
276.20,0.01228
276.40,0.01167
276.60,0.01138
276.80,0.01106
277.00,0.01026
277.20,0.00981
277.40,0.01031
277.60,0.00960
277.80,0.01004
278.00,0.01011
278.20,0.01014
278.40,0.00969
278.60,0.01074
278.80,0.01038
279.00,0.01037
279.20,0.01045
279.40,0.01121
279.60,0.01074
279.80,0.01212
280.00,0.01192
280.20,0.01211
280.40,0.01215
280.60,0.01260
280.80,0.01212
281.00,0.01203
281.20,0.01205
281.40,0.01166
281.60,0.01126
281.80,0.01005
282.00,0.01098
282.20,0.01047
282.40,0.01125
282.60,0.01090
282.80,0.01130
283.00,0.00956
283.20,0.01017
283.40,0.00978
283.60,0.00989
283.80,0.00995
284.00,0.01181
284.20,0.01278
284.40,0.01265
284.60,0.01293
284.80,0.01329
285.00,0.01233
285.20,0.01153
285.40,0.01109
285.60,0.01143
285.80,0.01132
286.00,0.01135
286.20,0.01205
286.40,0.01181
286.60,0.01284
286.80,0.01259
287.00,0.01255
287.20,0.01237
287.40,0.01319
287.60,0.01213
287.80,0.01229
288.00,0.01203
288.20,0.01190
288.40,0.01205
288.60,0.01141
288.80,0.01093
289.00,0.01111
289.20,0.01109
289.40,0.01163
289.60,0.01219
289.80,0.01256
290.00,0.01251
290.20,0.01157
290.40,0.01041
290.60,0.01001
290.80,0.01046
291.00,0.01022
291.20,0.01124
291.40,0.01097
291.60,0.01088
291.80,0.00993
292.00,0.01005
292.20,0.00980
292.40,0.01026
292.60,0.01062
292.80,0.01083
293.00,0.01107
293.20,0.01098
293.40,0.01176
293.60,0.01180
293.80,0.01192
294.00,0.01151
294.20,0.01102
294.40,0.01011
294.60,0.00897
294.80,0.00959
295.00,0.00934
295.20,0.00945
295.40,0.00873
295.60,0.00941
295.80,0.00848
296.00,0.00854
296.20,0.00780
296.40,0.00951
296.60,0.00989
296.80,0.01003
297.00,0.01110
297.20,0.01204
297.40,0.01097
297.60,0.01108
297.80,0.01151
298.00,0.01148
298.20,0.01181
298.40,0.01171
298.60,0.01148
298.80,0.01082
299.00,0.01007
299.20,0.00965
299.40,0.00943
299.60,0.00986
299.80,0.01070
300.00,0.01105
300.20,0.01087
300.40,0.01131
300.60,0.01094
300.80,0.01098
301.00,0.01127
301.20,0.01160
301.40,0.01179
301.60,0.01200
301.80,0.01181
302.00,0.01098
302.20,0.01102
302.40,0.01115
302.60,0.01011
302.80,0.01039
303.00,0.01100
303.20,0.01049
303.40,0.01106
303.60,0.01201
303.80,0.01144
304.00,0.01185
304.20,0.01272
304.40,0.01183
304.60,0.01197
304.80,0.01270
305.00,0.01209
305.20,0.01219
305.40,0.01291
305.60,0.01254
305.80,0.01286
306.00,0.01300
306.20,0.01198
306.40,0.01139
306.60,0.01118
306.80,0.01049
307.00,0.01081
307.20,0.01209
307.40,0.01214
307.60,0.01234
307.80,0.01296
308.00,0.01296
308.20,0.01251
308.40,0.01301
308.60,0.01332
308.80,0.01351
309.00,0.01305
309.20,0.01337
309.40,0.01379
309.60,0.01386
309.80,0.01373
310.00,0.01377
310.20,0.01413
310.40,0.01441
310.60,0.01523
310.80,0.01552
311.00,0.01685
311.20,0.01732
311.40,0.01658
311.60,0.01647
311.80,0.01657
312.00,0.01549
312.20,0.01541
312.40,0.01601
312.60,0.01606
312.80,0.01576
313.00,0.01731
313.20,0.01672
313.40,0.01754
313.60,0.01772
313.80,0.01732
314.00,0.01665
314.20,0.01600
314.40,0.01588
314.60,0.01609
314.80,0.01711
315.00,0.01847
315.20,0.02004
315.40,0.02015
315.60,0.01971
315.80,0.01939
316.00,0.01855
316.20,0.01761
316.40,0.01827
316.60,0.02000
316.80,0.01994
317.00,0.02051
317.20,0.02243
317.40,0.02336
317.60,0.02311
317.80,0.02403
318.00,0.02393
318.20,0.02310
318.40,0.02154
318.60,0.02176
318.80,0.02204
319.00,0.02244
319.20,0.02331
319.40,0.02422
319.60,0.02361
319.80,0.02402
320.00,0.02432
320.20,0.02422
320.40,0.02496
320.60,0.02578
320.80,0.02602
321.00,0.02697
321.20,0.02742
321.40,0.02651
321.60,0.02628
321.80,0.02629
322.00,0.02591
322.20,0.02587
322.40,0.02696
322.60,0.02851
322.80,0.02859
323.00,0.02935
323.20,0.03027
323.40,0.03143
323.60,0.03236
323.80,0.03343
324.00,0.03319
324.20,0.03462
324.40,0.03370
324.60,0.03288
324.80,0.03345
325.00,0.03439
325.20,0.03381
325.40,0.03443
325.60,0.03639
325.80,0.03716
326.00,0.03754
326.20,0.03782
326.40,0.03861
326.60,0.03708
326.80,0.03766
327.00,0.03747
327.20,0.03741
327.40,0.03723
327.60,0.03776
327.80,0.03751
328.00,0.03873
328.20,0.03971
328.40,0.04051
328.60,0.04173
328.80,0.04341
329.00,0.04302
329.20,0.04335
329.40,0.04304
329.60,0.04250
329.80,0.04129
330.00,0.04186
330.20,0.04255
330.40,0.04369
330.60,0.04518
330.80,0.04691
331.00,0.04731
331.20,0.04733
331.40,0.04899
331.60,0.04924
331.80,0.04932
332.00,0.04951
332.20,0.05046
332.40,0.05015
332.60,0.05120
332.80,0.05192
333.00,0.05345
333.20,0.05434
333.40,0.05518
333.60,0.05646
333.80,0.05691
334.00,0.05883
334.20,0.05976
334.40,0.05979
334.60,0.06045
334.80,0.06175
335.00,0.06131
335.20,0.06173
335.40,0.06317
335.60,0.06351
335.80,0.06444
336.00,0.06536
336.20,0.06638
336.40,0.06727
336.60,0.06791
336.80,0.06887
337.00,0.06941
337.20,0.06999
337.40,0.07071
337.60,0.07193
337.80,0.07204
338.00,0.07218
338.20,0.07348
338.40,0.07403
338.60,0.07382
338.80,0.07456
339.00,0.07588
339.20,0.07615
339.40,0.07725
339.60,0.07833
339.80,0.07960
340.00,0.08012
340.20,0.08132
340.40,0.08133
340.60,0.08167
340.80,0.08186
341.00,0.08327
341.20,0.08353
341.40,0.08410
341.60,0.08463
341.80,0.08478
342.00,0.08455
342.20,0.08513
342.40,0.08676
342.60,0.08776
342.80,0.08843
343.00,0.08999
343.20,0.08959
343.40,0.08931
343.60,0.08887
343.80,0.08949
344.00,0.08992
344.20,0.09041
344.40,0.09100
344.60,0.09236
344.80,0.09228
345.00,0.09265
345.20,0.09294
345.40,0.09295
345.60,0.09297
345.80,0.09281
346.00,0.09217
346.20,0.09380
346.40,0.09358
346.60,0.09433
346.80,0.09597
347.00,0.09691
347.20,0.09737
347.40,0.09885
347.60,0.09952
347.80,0.09975
348.00,0.10135
348.20,0.10193
348.40,0.10254
348.60,0.10178
348.80,0.10294
349.00,0.10342
349.20,0.10255
349.40,0.10236
349.60,0.10504
349.80,0.10507
350.00,0.10477
350.20,0.10684
350.40,0.10804
350.60,0.10670
350.80,0.10677
351.00,0.10612
351.20,0.10556
351.40,0.10563
351.60,0.10736
351.80,0.10725
352.00,0.10875
352.20,0.10958
352.40,0.11018
352.60,0.11102
352.80,0.11223
353.00,0.11256
353.20,0.11329
353.40,0.11447
353.60,0.11461
353.80,0.11504
354.00,0.11618
354.20,0.11623
354.40,0.11562
354.60,0.11513
354.80,0.11547
355.00,0.11609
355.20,0.11707
355.40,0.11904
355.60,0.12010
355.80,0.12055
356.00,0.11989
356.20,0.12061
356.40,0.11964
356.60,0.11952
356.80,0.11991
357.00,0.12073
357.20,0.12054
357.40,0.12198
357.60,0.12300
357.80,0.12292
358.00,0.12390
358.20,0.12454
358.40,0.12448
358.60,0.12448
358.80,0.12571
359.00,0.12572
359.20,0.12503
359.40,0.12451
359.60,0.12519
359.80,0.12452
360.00,0.12402
360.20,0.12568
360.40,0.12569
360.60,0.12412
360.80,0.12563
361.00,0.12643
361.20,0.12517
361.40,0.12619
361.60,0.12731
361.80,0.12656
362.00,0.12594
362.20,0.12545
362.40,0.12583
362.60,0.12578
362.80,0.12491
363.00,0.12397
363.20,0.12456
363.40,0.12282
363.60,0.12312
363.80,0.12375
364.00,0.12521
364.20,0.12446
364.40,0.12418
364.60,0.12324
364.80,0.12400
365.00,0.12330
365.20,0.12392
365.40,0.12442
365.60,0.12417
365.80,0.12295
366.00,0.12297
366.20,0.12389
366.40,0.12455
366.60,0.12539
