"MN1534SlowCorrected - RawData"
"Wavelength nm.","T%"
200.00,0.15165
201.00,0.14003
202.00,0.13916
203.00,0.20811
204.00,0.16725
205.00,0.06149
206.00,0.1045
207.00,0.08194
208.00,0.06272
209.00,0.10956
210.00,0.06684
211.00,0.14849
212.00,0.07566
213.00,0.04501
214.00,0.11448
215.00,0.09162
216.00,0.06852
217.00,0.04717
218.00,0.06195
219.00,0.08204
220.00,0.05939
221.00,0.06131
222.00,0.06661
223.00,0.06893
224.00,0.11134
225.00,0.0838
226.00,0.04683
227.00,0.06319
228.00,0.06967
229.00,0.06975
230.00,0.09945
231.00,0.08113
232.00,0.07718
233.00,0.11312
234.00,0.19327
235.00,0.50903
236.00,1.06416
237.00,2.26624
238.00,4.69651
239.00,8.11795
240.00,12.51092
241.00,17.97905
242.00,23.50104
243.00,29.0704
244.00,33.90903
245.00,37.39155
246.00,40.47407
247.00,42.49752
248.00,44.35727
249.00,45.57818
250.00,46.38806
251.00,47.12171
252.00,48.24084
253.00,48.44274
254.00,48.58616
255.00,48.94711
256.00,49.86975
257.00,50.42999
258.00,50.37241
259.00,50.64649
260.00,50.93316
261.00,51.82474
262.00,52.16372
263.00,51.87832
264.00,51.78446
265.00,51.55353
266.00,52.56295
267.00,53.41364
268.00,53.28122
269.00,52.54306
270.00,52.62542
271.00,52.96195
272.00,53.83326
273.00,54.11014
274.00,54.00769
275.00,53.40863
276.00,52.97891
277.00,53.65502
278.00,54.14827
279.00,54.64156
280.00,54.85612
281.00,54.44025
282.00,53.99787
283.00,53.63892
284.00,53.80039
285.00,54.73161
286.00,55.74486
287.00,55.7674
288.00,55.25157
289.00,55.00711
290.00,54.49242
291.00,54.93588
292.00,55.74455
293.00,56.40594
294.00,56.63849
295.00,56.47868
296.00,56.06664
297.00,55.28261
298.00,54.82619
299.00,55.39986
300.00,55.94066
301.00,56.85721
302.00,57.40169
303.00,56.71673
304.00,56.59333
305.00,56.105
306.00,57.2906
307.00,57.29262
308.00,57.3992
309.00,58.23511
310.00,59.29706
311.00,59.31229
312.00,59.28326
313.00,58.89804
314.00,58.63535
315.00,58.14492
316.00,57.63602
317.00,57.33994
318.00,58.30794
319.00,59.25231
320.00,59.99112
321.00,59.85524
322.00,59.27318
323.00,59.35418
324.00,58.60199
325.00,57.24027
326.00,57.27636
327.00,57.3921
328.00,57.74537
329.00,58.42437
330.00,58.93833
331.00,59.68348
332.00,59.59709
333.00,59.37951
334.00,58.9691
335.00,58.66356
336.00,57.58989
337.00,57.81964
338.00,57.9147
339.00,57.88587
340.00,58.80623
341.00,59.45514
342.00,59.98232
343.00,60.49296
344.00,60.23717
345.00,60.2034
346.00,59.54371
347.00,58.81834
348.00,58.46542
349.00,58.08063
350.00,58.19504
351.00,58.56922
352.00,58.92202
353.00,60.00586
354.00,60.32158
355.00,60.60442
356.00,60.6446
357.00,60.89043
358.00,60.10764
359.00,59.83614
360.00,59.05071
361.00,58.69859
362.00,58.59476
