"SamplMN1345BVslowResin - RawData"
"Wavelength nm.","T%"
200.00,0.22792
201.00,0.26368
202.00,0.24740
203.00,0.18477
204.00,0.23426
205.00,0.25149
206.00,0.20786
207.00,0.21385
208.00,0.31536
209.00,0.32249
210.00,0.32476
211.00,0.36370
212.00,0.36209
213.00,0.41073
214.00,0.43789
215.00,0.42857
216.00,0.45589
217.00,0.46401
218.00,0.46065
219.00,0.48525
220.00,0.51472
221.00,0.51638
222.00,0.61010
223.00,0.68694
224.00,0.77535
225.00,0.96394
226.00,1.31032
227.00,1.80191
228.00,2.50503
229.00,3.52965
230.00,4.87644
231.00,6.65553
232.00,8.98029
233.00,11.64283
234.00,14.76714
235.00,18.37277
236.00,22.11877
237.00,25.97664
238.00,29.76585
239.00,33.16239
240.00,35.94233
241.00,38.30033
242.00,40.29951
243.00,41.87629
244.00,42.99050
245.00,44.11312
246.00,44.97699
247.00,45.86104
248.00,46.87865
249.00,47.90907
250.00,48.98395
251.00,50.06232
252.00,51.15811
253.00,51.99493
254.00,52.83446
255.00,53.78326
256.00,54.41676
257.00,54.98351
258.00,55.35145
259.00,55.61690
260.00,55.72379
261.00,55.69603
262.00,55.43554
263.00,55.33819
264.00,54.87508
265.00,54.70525
266.00,54.19950
267.00,53.85662
268.00,53.50411
269.00,53.13749
270.00,52.99298
271.00,52.86529
272.00,52.74769
273.00,52.52692
274.00,52.57263
275.00,52.89487
276.00,52.75915
277.00,53.08791
278.00,53.20923
279.00,53.64667
280.00,54.04937
281.00,54.64584
282.00,55.07395
283.00,55.54245
284.00,55.94919
285.00,56.48000
286.00,57.00060
287.00,57.31425
288.00,57.96946
289.00,58.46763
290.00,58.84712
291.00,59.07302
292.00,59.56392
293.00,59.75652
294.00,59.86668
295.00,59.98009
296.00,60.24681
297.00,60.34665
298.00,60.27019
299.00,60.25915
300.00,60.20898
301.00,60.05222
302.00,59.87416
303.00,59.60624
304.00,59.62868
305.00,59.15765
306.00,58.91357
307.00,58.60937
308.00,58.26082
309.00,58.13945
310.00,57.78908
311.00,57.63236
312.00,57.48437
313.00,57.16798
314.00,57.08105
315.00,56.93682
316.00,56.55863
317.00,56.41310
318.00,56.51873
319.00,56.37630
320.00,56.27273
321.00,56.46082
322.00,56.17908
323.00,56.30089
324.00,55.99611
325.00,55.86997
326.00,55.97816
327.00,55.99713
328.00,56.24090
329.00,56.63015
330.00,56.66127
331.00,56.84307
332.00,57.00372
333.00,57.16558
334.00,57.37699
335.00,57.88734
336.00,58.04928
337.00,58.17489
338.00,58.50027
339.00,58.83276
340.00,58.93852
341.00,59.38497
342.00,59.67223
343.00,59.83865
344.00,60.07865
345.00,60.23976
346.00,60.42066
347.00,60.60909
348.00,60.97909
349.00,61.16822
350.00,61.37055
351.00,61.60687
352.00,61.74582
353.00,61.75363
354.00,61.83780
