"Sapphire - ThorLabs"
"Wavelength µm.","T%"
200,70.01
201,70.11
202,70.24
203,70.35
204,70.44
205,70.55
206,70.65
207,70.74
208,70.84
209,70.94
210,71.05
211,71.15
212,71.26
213,71.36
214,71.47
215,71.58
216,71.70
217,71.81
218,71.92
219,72.04
220,72.15
221,72.26
222,72.38
223,72.49
224,72.60
225,72.71
226,72.93
227,73.15
228,73.36
229,73.57
230,73.78
231,73.99
232,74.20
233,74.41
234,74.61
235,74.82
236,75.02
237,75.23
238,75.43
239,75.63
240,75.83
241,76.03
242,76.23
243,76.43
244,76.62
245,76.81
246,77.00
247,77.19
248,77.37
249,77.55
250,77.72
251,77.89
252,78.06
253,78.22
254,78.37
255,78.53
256,78.67
257,78.82
258,78.96
259,79.09
260,79.22
261,79.34
262,79.46
263,79.58
264,79.70
265,79.81
266,79.91
267,80.01
268,80.11
269,80.21
270,80.30
271,80.39
272,80.48
273,80.56
274,80.64
275,80.72
276,80.80
277,80.87
278,80.94
279,81.01
280,81.08
281,81.15
282,81.21
283,81.27
284,81.33
285,81.39
286,81.44
287,81.50
288,81.55
289,81.60
290,81.65
291,81.70
292,81.75
293,81.80
294,81.84
295,81.89
296,81.93
297,81.97
298,82.01
299,82.05
300,82.09
301,82.13
302,82.17
303,82.21
304,82.24
305,82.28
306,82.31
307,82.34
308,82.37
309,82.40
310,82.43
311,82.46
312,82.49
313,82.52
314,82.55
315,82.58
316,82.60
317,82.63
318,82.66
319,82.68
320,82.71
321,82.73
322,82.76
323,82.78
324,82.80
325,82.83
326,82.85
327,82.87
328,82.89
329,82.91
330,82.93
331,82.96
332,82.98
333,83.00
334,83.01
335,83.03
336,83.05
337,83.07
338,83.09
339,83.11
340,83.12
341,83.14
342,83.16
343,83.17
344,83.19
345,83.21
346,83.22
347,83.24
348,83.26
349,83.27
350,83.29
351,83.30
352,83.32
353,83.33
354,83.35
355,83.36
356,83.38
357,83.39
358,83.41
359,83.42
360,83.44
361,83.45
362,83.46
363,83.48
364,83.49
365,83.50
366,83.51
367,83.53
368,83.54
369,83.55
370,83.56
371,83.58
372,83.59
373,83.60
374,83.61
375,83.62
376,83.64
377,83.65
378,83.66
379,83.67
380,83.68
381,83.70
382,83.71
383,83.72
384,83.73
385,83.74
386,83.76
387,83.77
388,83.78
389,83.79
390,83.81
391,83.82
392,83.83
393,83.84
394,83.85
395,83.87
396,83.88
397,83.89
398,83.90
399,83.92
400,83.93
401,83.94
402,83.96
403,83.97
404,83.98
405,83.99
406,84.01
407,84.02
408,84.03
409,84.05
410,84.06
411,84.07
412,84.09
413,84.10
414,84.11
415,84.13
416,84.14
417,84.15
418,84.17
419,84.18
420,84.19
421,84.20
422,84.22
423,84.23
424,84.24
425,84.25
426,84.26
427,84.28
428,84.29
429,84.30
430,84.31
431,84.32
432,84.33
433,84.34
434,84.35
435,84.37
436,84.38
437,84.39
438,84.40
439,84.41
440,84.42
441,84.43
442,84.44
443,84.45
444,84.46
445,84.47
446,84.48
447,84.49
448,84.50
449,84.51
450,84.52
451,84.53
452,84.53
453,84.54
454,84.55
455,84.56
456,84.57
457,84.58
458,84.58
459,84.59
460,84.60
461,84.61
462,84.62
463,84.62
464,84.63
465,84.64
466,84.64
467,84.65
468,84.66
469,84.66
470,84.67
471,84.68
472,84.69
473,84.69
474,84.70
475,84.70
476,84.71
477,84.71
478,84.72
479,84.73
480,84.73
481,84.74
482,84.74
483,84.75
484,84.75
485,84.76
486,84.76
487,84.77
488,84.77
489,84.78
490,84.78
491,84.79
492,84.79
493,84.79
494,84.80
495,84.80
496,84.81
497,84.81
498,84.82
499,84.82
500,84.82
501,84.83
502,84.83
503,84.84
504,84.84
505,84.85
506,84.85
507,84.86
508,84.86
509,84.87
510,84.87
511,84.88
512,84.88
513,84.89
514,84.89
515,84.90
516,84.90
517,84.91
518,84.91
519,84.92
520,84.93
521,84.93
522,84.94
523,84.94
524,84.95
525,84.95
526,84.96
527,84.97
528,84.97
529,84.98
530,84.98
531,84.99
532,84.99
533,85.00
534,85.00
535,85.01
536,85.01
537,85.02
538,85.03
539,85.03
540,85.04
541,85.04
542,85.04
543,85.05
544,85.06
545,85.06
546,85.06
547,85.07
548,85.07
549,85.08
550,85.08
551,85.09
552,85.09
553,85.09
554,85.10
555,85.10
556,85.10
557,85.11
558,85.12
559,85.12
560,85.12
561,85.12
562,85.13
563,85.13
564,85.14
565,85.14
566,85.14
567,85.14
568,85.15
569,85.15
570,85.16
571,85.16
572,85.16
573,85.17
574,85.17
575,85.17
576,85.18
577,85.18
578,85.18
579,85.19
580,85.19
581,85.19
582,85.20
583,85.20
584,85.20
585,85.21
586,85.21
587,85.22
588,85.22
589,85.22
590,85.23
591,85.23
592,85.23
593,85.24
594,85.24
595,85.24
596,85.24
597,85.25
598,85.25
599,85.25
600,85.26
601,85.26
602,85.26
603,85.27
604,85.27
605,85.27
606,85.28
607,85.28
608,85.28
609,85.28
610,85.28
611,85.29
612,85.29
613,85.29
614,85.30
615,85.30
616,85.30
617,85.31
618,85.31
619,85.31
620,85.31
621,85.32
622,85.32
623,85.32
624,85.32
625,85.33
626,85.33
627,85.33
628,85.33
629,85.34
630,85.34
631,85.34
632,85.35
633,85.35
634,85.35
635,85.36
636,85.36
637,85.36
638,85.37
639,85.37
640,85.37
641,85.37
642,85.38
643,85.38
644,85.38
645,85.39
646,85.39
647,85.39
648,85.39
649,85.40
650,85.40
651,85.40
652,85.40
653,85.41
654,85.41
655,85.41
656,85.42
657,85.42
658,85.42
659,85.43
660,85.43
661,85.43
662,85.43
663,85.44
664,85.44
665,85.44
666,85.45
667,85.45
668,85.45
669,85.45
670,85.46
671,85.46
672,85.46
673,85.46
674,85.47
675,85.47
676,85.47
677,85.47
678,85.48
679,85.48
680,85.48
681,85.49
682,85.49
683,85.49
684,85.49
685,85.49
686,85.50
687,85.50
688,85.50
689,85.50
690,85.50
691,85.51
692,85.51
693,85.51
694,85.51
695,85.51
696,85.52
697,85.52
698,85.52
699,85.53
700,85.53
701,85.53
702,85.53
703,85.53
704,85.54
705,85.54
706,85.54
707,85.54
708,85.54
709,85.55
710,85.55
711,85.55
712,85.55
713,85.55
714,85.56
715,85.56
716,85.56
717,85.56
718,85.57
719,85.57
720,85.57
721,85.57
722,85.57
723,85.58
724,85.58
725,85.58
726,85.58
727,85.58
728,85.58
729,85.59
730,85.59
731,85.59
732,85.60
733,85.59
734,85.60
735,85.60
736,85.60
737,85.61
738,85.61
739,85.61
740,85.61
741,85.61
742,85.61
743,85.62
744,85.62
745,85.62
746,85.62
747,85.62
748,85.62
749,85.63
750,85.63
751,85.63
752,85.63
753,85.63
754,85.63
755,85.64
756,85.64
757,85.64
758,85.64
759,85.64
760,85.64
761,85.64
762,85.65
763,85.65
764,85.65
765,85.65
766,85.65
767,85.66
768,85.66
769,85.66
770,85.66
771,85.66
772,85.67
773,85.67
774,85.67
775,85.67
776,85.67
777,85.67
778,85.68
779,85.68
780,85.69
781,85.69
782,85.69
783,85.69
784,85.69
785,85.69
786,85.69
787,85.70
788,85.70
789,85.70
790,85.70
791,85.70
792,85.70
793,85.71
794,85.71
795,85.71
796,85.72
797,85.71
798,85.71
799,85.71
800,85.72
801,85.73
802,85.73
803,85.73
804,85.73
805,85.73
806,85.73
807,85.73
808,85.74
809,85.75
810,85.75
811,85.75
