"MN1198V6C - RawData"
"Wavelength nm.","T%"
190.00,1.34398
191.00,0.72201
192.00,0.54623
193.00,0.48224
194.00,0.36251
195.00,0.26424
196.00,0.20788
197.00,0.17787
198.00,0.16657
199.00,0.15566
200.00,0.13711
201.00,0.12903
202.00,0.13025
203.00,0.11626
204.00,0.10866
205.00,0.08915
206.00,0.10104
207.00,0.07634
208.00,0.07219
209.00,0.06404
210.00,0.06658
211.00,0.05117
212.00,0.05856
213.00,0.03677
214.00,0.05667
215.00,0.05758
216.00,0.05118
217.00,0.05001
218.00,0.04589
219.00,0.05443
220.00,0.05034
221.00,0.05416
222.00,0.05012
223.00,0.05024
224.00,0.04680
225.00,0.04677
226.00,0.04845
227.00,0.04998
228.00,0.05408
229.00,0.04473
230.00,0.04256
231.00,0.04213
232.00,0.04552
233.00,0.04814
234.00,0.04446
235.00,0.04113
236.00,0.04010
237.00,0.03943
238.00,0.04687
239.00,0.04036
240.00,0.04357
241.00,0.05020
242.00,0.05661
243.00,0.07061
244.00,0.08718
245.00,0.11463
246.00,0.16346
247.00,0.23306
248.00,0.33532
249.00,0.49725
250.00,0.70825
251.00,1.03785
252.00,1.46403
253.00,2.06571
254.00,2.83911
255.00,3.84884
256.00,5.05205
257.00,6.51764
258.00,8.17567
259.00,9.97059
260.00,11.98013
261.00,14.21352
262.00,16.50644
263.00,18.88594
264.00,21.29267
265.00,23.60572
266.00,25.88612
267.00,28.00296
268.00,30.16845
269.00,32.17890
270.00,34.06131
271.00,35.70812
272.00,37.18875
273.00,38.65319
274.00,39.84751
275.00,40.93984
276.00,41.86895
277.00,42.78598
278.00,43.52293
279.00,44.34136
280.00,44.91032
281.00,45.51319
282.00,46.09498
283.00,46.58406
284.00,46.97459
285.00,47.37557
286.00,47.83437
287.00,48.15474
288.00,48.50434
289.00,48.76141
290.00,49.25897
291.00,49.62901
292.00,49.90141
293.00,50.15446
294.00,50.50758
295.00,50.87174
296.00,51.08638
297.00,51.24261
298.00,51.58921
299.00,51.84264
300.00,51.94400
301.00,52.06161
302.00,52.21814
303.00,52.42129
304.00,52.69328
305.00,52.70811
306.00,52.88125
307.00,53.10742
308.00,53.46189
309.00,53.73356
310.00,54.01359
311.00,54.23061
312.00,54.25584
313.00,54.58978
314.00,54.73579
315.00,54.90437
316.00,54.80515
317.00,55.02063
318.00,55.04422
319.00,55.16814
320.00,55.24144
321.00,55.33213
322.00,55.34104
323.00,55.38126
324.00,55.30480
325.00,55.40169
326.00,55.63557
327.00,55.90768
328.00,55.97469
329.00,56.11241
330.00,56.34621
331.00,56.49161
332.00,56.49619
333.00,56.51942
334.00,56.59206
335.00,56.63732
336.00,56.55193
337.00,56.63698
338.00,56.59227
339.00,56.54725
340.00,56.51723
341.00,56.52752
342.00,56.62958
343.00,56.71332
344.00,56.86902
345.00,57.12154
346.00,57.26237
347.00,57.26731
348.00,57.52288
349.00,57.64553
350.00,57.73939
351.00,57.80936
352.00,57.95749
353.00,58.05014
354.00,58.01393
355.00,58.02535
356.00,57.96326
357.00,57.90840
358.00,57.88928
359.00,57.89803
360.00,57.73683
361.00,57.71164
362.00,57.72301
363.00,57.64095
364.00,57.62264
365.00,57.67045
366.00,57.66704
367.00,57.80243
368.00,57.94188
369.00,57.95565
370.00,58.07189
371.00,58.25717
372.00,58.22624
373.00,58.58106
374.00,58.61962
375.00,58.75224
376.00,58.79176
377.00,58.86554
378.00,59.00078
379.00,58.99324
380.00,58.98335
381.00,59.02979
382.00,58.91207
383.00,58.90812
384.00,58.88946
385.00,58.83180
386.00,58.74575
387.00,58.68254
388.00,58.57133
389.00,58.50186
390.00,58.46967
391.00,58.46205
392.00,58.41182
393.00,58.42090
394.00,58.49184
395.00,58.51122
396.00,58.54344
397.00,58.61577
398.00,58.69389
399.00,58.84760
400.00,58.98685
401.00,59.12481
402.00,59.23215
403.00,59.32916
404.00,59.43680
405.00,59.57624
406.00,59.65493
407.00,59.77183
408.00,59.83825
409.00,59.93468
410.00,59.90971
411.00,59.95498
412.00,59.93583
413.00,59.87474
414.00,59.88845
415.00,59.82638
416.00,59.79453
417.00,59.71712
418.00,59.69312
419.00,59.61111
420.00,59.53565
421.00,59.45187
422.00,59.35135
423.00,59.30805
424.00,59.25888
425.00,59.22816
426.00,59.25003
427.00,59.21410
428.00,59.23977
429.00,59.25523
430.00,59.33843
431.00,59.31387
432.00,59.41564
433.00,59.52778
434.00,59.61332
435.00,59.71882
436.00,59.82063
437.00,59.96538
438.00,60.05823
439.00,60.18110
440.00,60.30336
441.00,60.37830
442.00,60.46522
443.00,60.63682
444.00,60.71293
445.00,60.76331
446.00,60.84078
447.00,60.84700
448.00,60.87854
449.00,60.91274
450.00,60.89219
451.00,60.89307
452.00,60.85952
453.00,60.81787
454.00,60.78019
455.00,60.68102
456.00,60.64957
457.00,60.54214
458.00,60.48403
459.00,60.42043
460.00,60.30334
461.00,60.25853
462.00,60.15331
463.00,60.11832
464.00,60.03597
