"TransVSlowSam7 - RawData"
"Wavelength nm.","T%"
190.00,1.77700
191.00,1.06055
192.00,0.90868
193.00,0.68823
194.00,0.62506
195.00,0.30303
196.00,0.32532
197.00,0.35419
198.00,0.26570
199.00,0.25403
200.00,0.26088
201.00,0.22192
202.00,0.17410
203.00,0.20974
204.00,0.18790
205.00,0.12555
206.00,0.15129
207.00,0.12587
208.00,0.15483
209.00,0.12511
210.00,0.11466
211.00,0.12478
212.00,0.10560
213.00,0.10371
214.00,0.11831
215.00,0.11544
216.00,0.09171
217.00,0.10896
218.00,0.10768
219.00,0.11643
220.00,0.12457
221.00,0.13985
222.00,0.12748
223.00,0.13378
224.00,0.12474
225.00,0.13718
226.00,0.14995
227.00,0.17594
228.00,0.20634
229.00,0.24808
230.00,0.31116
231.00,0.38804
232.00,0.48780
233.00,0.62400
234.00,0.78561
235.00,0.96183
236.00,1.22248
237.00,1.47811
238.00,1.78480
239.00,2.08373
240.00,2.47463
241.00,2.86509
242.00,3.36035
243.00,3.90013
244.00,4.49373
245.00,5.17243
246.00,5.98583
247.00,6.89503
248.00,7.94530
249.00,9.09709
250.00,10.52711
251.00,12.24049
252.00,14.21984
253.00,16.58525
254.00,19.27181
255.00,22.32910
256.00,25.54250
257.00,28.84811
258.00,32.24000
259.00,35.42152
260.00,38.64757
261.00,41.54397
262.00,44.33895
263.00,46.71542
264.00,48.67086
265.00,50.26546
266.00,51.23363
267.00,52.06073
268.00,52.49807
269.00,52.63214
270.00,52.79219
271.00,52.78983
272.00,53.02901
273.00,53.14090
274.00,53.39105
275.00,53.77782
276.00,54.26411
277.00,54.91778
278.00,55.53376
279.00,56.01361
280.00,56.48282
281.00,56.93319
282.00,57.45930
283.00,57.91419
284.00,58.09420
285.00,58.21364
286.00,58.34143
287.00,58.27327
288.00,58.15969
289.00,58.01360
290.00,57.89940
291.00,57.71903
292.00,57.43866
293.00,57.32853
294.00,57.21927
295.00,57.09983
296.00,57.16002
297.00,57.14781
298.00,57.38770
299.00,57.60326
300.00,57.72796
301.00,58.07787
302.00,58.39223
303.00,58.95684
304.00,59.19254
305.00,59.48520
306.00,59.72918
307.00,60.00127
308.00,60.28629
309.00,60.65044
310.00,60.80989
311.00,60.77004
312.00,60.87055
313.00,60.97890
314.00,60.80530
315.00,60.83267
316.00,60.73289
317.00,60.54047
318.00,60.28300
319.00,60.11395
