"SamDStandard - RawData"
"Wavelength nm.","T%"
190.00,-0.52930
191.00,0.10306
192.00,2.71697
193.00,0.40385
194.00,0.94281
195.00,-0.27946
196.00,0.31744
197.00,-0.15961
198.00,0.11218
199.00,0.25841
200.00,0.25687
201.00,0.06596
202.00,0.05973
203.00,0.26346
204.00,0.05964
205.00,0.04177
206.00,0.08143
207.00,0.12290
208.00,0.15087
209.00,0.04501
210.00,0.16145
211.00,0.06587
212.00,0.18091
213.00,0.14209
214.00,0.18170
215.00,0.13926
216.00,0.13050
217.00,0.06130
218.00,0.11390
219.00,0.10939
220.00,0.14148
221.00,0.10640
222.00,0.10177
223.00,0.10264
224.00,0.07621
225.00,0.10378
226.00,0.09054
227.00,0.15408
228.00,0.08695
229.00,0.16667
230.00,0.11356
231.00,0.25102
232.00,0.22273
233.00,0.31592
234.00,0.41413
235.00,0.49919
236.00,0.61024
237.00,0.74685
238.00,0.94605
239.00,1.12267
240.00,1.33920
241.00,1.58259
242.00,1.83907
243.00,2.22118
244.00,2.58721
245.00,3.12446
246.00,3.74249
247.00,4.40286
248.00,5.12481
249.00,6.10939
250.00,7.39437
251.00,8.78633
252.00,10.59448
253.00,12.98618
254.00,15.66638
255.00,18.78089
256.00,22.36725
257.00,26.39763
258.00,30.33547
259.00,34.09193
260.00,37.84340
261.00,40.72318
262.00,42.92123
263.00,44.70221
264.00,46.22438
265.00,47.35222
266.00,48.81943
267.00,50.05772
268.00,51.50916
269.00,52.87623
270.00,54.06440
271.00,54.79255
272.00,55.89976
273.00,55.79414
274.00,55.94509
275.00,56.06392
276.00,55.36691
277.00,55.13796
278.00,54.75792
279.00,54.75824
280.00,54.71686
281.00,54.88356
282.00,54.96321
283.00,55.54824
284.00,56.51985
285.00,57.24822
286.00,58.10260
287.00,58.23072
288.00,59.07244
289.00,58.99815
290.00,59.66837
291.00,59.19961
292.00,59.33603
293.00,58.89158
294.00,58.69413
295.00,58.12367
296.00,57.93278
297.00,57.91759
298.00,57.39992
299.00,57.30019
300.00,57.15792
301.00,57.35183
302.00,57.25444
303.00,57.74952
304.00,58.05664
305.00,58.85581
306.00,59.08866
307.00,59.53859
308.00,60.15798
309.00,60.95351
310.00,60.78002
311.00,60.78604
312.00,61.27108
313.00,61.19785
314.00,60.87953
315.00,61.11839
316.00,61.10699
317.00,60.67411
318.00,60.47317
319.00,59.91815
320.00,59.48100
321.00,59.29160
322.00,59.49841
323.00,58.49039
324.00,58.59455
325.00,58.69565
326.00,58.66762
327.00,58.68285
328.00,58.56301
329.00,58.87508
330.00,59.17476
331.00,59.32406
332.00,59.67435
333.00,59.74585
334.00,60.48379
335.00,60.71715
336.00,60.85274
337.00,61.40572
338.00,61.61730
339.00,62.18259
340.00,62.00770
341.00,62.10505
342.00,62.29393
343.00,62.15913
344.00,62.15644
345.00,62.06813
346.00,61.74566
347.00,61.50801
348.00,61.47412
349.00,61.12313
350.00,60.92117
351.00,60.55996
352.00,60.25518
353.00,60.08922
354.00,59.89166
355.00,59.92981
356.00,59.64673
357.00,59.69710
358.00,59.44242
359.00,59.59136
360.00,59.64321
361.00,59.64500
362.00,59.79106
363.00,59.82267
364.00,60.15121
365.00,60.11619
366.00,60.40488
367.00,60.47561
368.00,61.01602
369.00,61.00810
370.00,61.66077
371.00,61.76358
372.00,61.95018
373.00,62.11742
374.00,62.12865
375.00,62.54035
376.00,62.48254
377.00,62.89860
378.00,62.77628
379.00,62.96583
380.00,62.75813
381.00,62.94727
382.00,62.80584
383.00,62.85708
384.00,62.37901
385.00,62.56273
386.00,62.30214
387.00,61.97085
388.00,61.81079
389.00,61.62723
390.00,61.62985
391.00,61.43430
392.00,61.20360
393.00,60.98204
394.00,60.71149
395.00,60.85697
396.00,60.60910
397.00,60.48899
398.00,60.21560
399.00,60.30824
400.00,60.31412
401.00,60.22247
402.00,60.26832
403.00,60.36502
404.00,60.38776
405.00,60.35842
406.00,60.47770
407.00,60.71610
408.00,60.74237
409.00,60.93193
410.00,61.08431
411.00,61.09183
412.00,61.30083
413.00,61.72732
414.00,61.76910
415.00,61.95456
416.00,62.29587
417.00,62.31941
418.00,62.44234
419.00,62.64541
420.00,62.90150
421.00,63.02370
422.00,63.03350
423.00,63.31004
424.00,63.40092
425.00,63.37809
426.00,63.54370
427.00,63.53441
428.00,63.55151
429.00,63.63653
430.00,63.55751
431.00,63.46511
432.00,63.43934
433.00,63.31077
434.00,63.16465
435.00,63.21657
436.00,63.12073
437.00,63.01792
438.00,62.90427
439.00,62.77984
440.00,62.77582
441.00,62.55566
442.00,62.44845
443.00,62.25532
444.00,62.03139
445.00,61.96731
446.00,61.83170
447.00,61.56682
448.00,61.50355
449.00,61.59965
450.00,61.28303
451.00,61.31033
452.00,61.26059
453.00,61.24877
