"SubstrateStandardHolder - RawData"
"Wavelength nm.","T%"
190.00,42.78370
191.00,44.33297
192.00,46.37068
193.00,43.25818
194.00,45.26885
195.00,44.52110
196.00,43.73797
197.00,45.41665
198.00,42.74015
199.00,45.37695
200.00,45.73826
201.00,43.12829
202.00,45.01854
203.00,47.15326
204.00,46.67829
205.00,47.07593
206.00,48.77418
207.00,47.60770
208.00,48.49488
209.00,50.19075
210.00,49.56488
211.00,49.79086
212.00,50.37935
213.00,50.34355
214.00,50.96151
215.00,50.36448
216.00,50.78308
217.00,51.76092
218.00,51.91375
219.00,52.06868
220.00,51.67180
221.00,52.00741
222.00,51.30439
223.00,51.85392
224.00,52.98029
225.00,52.56198
226.00,52.35670
227.00,52.45784
228.00,52.75271
229.00,52.83684
230.00,53.29998
231.00,53.56911
232.00,53.65500
233.00,54.09872
234.00,54.30175
235.00,54.94595
236.00,55.00726
237.00,55.05376
238.00,55.09837
239.00,55.58913
240.00,56.29111
241.00,56.22318
242.00,56.85726
243.00,56.76360
244.00,56.57011
245.00,57.43573
246.00,57.03866
247.00,57.40221
248.00,57.55964
249.00,58.29833
250.00,58.12257
251.00,58.31462
252.00,58.03726
253.00,58.34435
254.00,58.36772
255.00,58.68319
256.00,58.90706
257.00,58.83347
258.00,58.68075
259.00,58.87937
260.00,58.96035
261.00,59.21370
262.00,58.75365
263.00,59.13830
264.00,59.05542
265.00,59.19219
266.00,59.02160
267.00,59.31571
268.00,59.42937
269.00,59.31590
270.00,59.63731
271.00,59.17500
272.00,59.39011
273.00,59.26539
274.00,59.44948
275.00,59.43431
276.00,59.55468
277.00,59.57835
278.00,59.63308
279.00,59.75562
280.00,59.43149
281.00,59.93364
282.00,59.87433
283.00,60.15866
284.00,59.76223
285.00,60.14349
286.00,60.29989
287.00,60.27955
288.00,60.53134
289.00,60.87025
290.00,60.32122
291.00,60.48577
292.00,60.75311
293.00,60.53477
294.00,61.03776
295.00,61.35738
296.00,61.16259
297.00,61.45048
298.00,61.00044
299.00,61.30271
300.00,61.19255
301.00,61.27079
302.00,61.47595
303.00,61.35755
304.00,61.53658
305.00,61.45387
306.00,61.59058
307.00,61.78959
308.00,61.89263
309.00,61.51128
310.00,61.97534
311.00,61.91195
312.00,61.84272
313.00,61.87195
314.00,62.01908
315.00,61.70981
316.00,62.02087
317.00,62.10455
