"Sam7V6 - RawData"
"Wavelength nm.","T%"
190.00,1.59508
191.00,1.00681
192.00,0.82383
193.00,0.46924
194.00,0.30412
195.00,0.34799
196.00,0.10146
197.00,0.04305
198.00,0.14692
199.00,0.02504
200.00,0.26253
201.00,0.13467
202.00,0.00608
203.00,0.09071
204.00,0.17355
205.00,0.04541
206.00,0.07029
207.00,0.05914
208.00,0.05156
209.00,0.04562
210.00,0.05570
211.00,0.04629
212.00,0.04737
213.00,0.04064
214.00,0.03464
215.00,0.05756
216.00,0.03654
217.00,0.02862
218.00,0.02544
219.00,0.04636
220.00,0.04874
221.00,0.05109
222.00,0.04824
223.00,0.04732
224.00,0.03401
225.00,0.04396
226.00,0.07759
227.00,0.08459
228.00,0.11599
229.00,0.13081
230.00,0.17655
231.00,0.23804
232.00,0.30405
233.00,0.38586
234.00,0.55595
235.00,0.67002
236.00,0.87997
237.00,1.07674
238.00,1.34559
239.00,1.60377
240.00,1.91824
241.00,2.18690
242.00,2.55563
243.00,2.94020
244.00,3.47799
245.00,4.05885
246.00,4.59636
247.00,5.41964
248.00,6.18775
249.00,7.15667
250.00,8.36205
251.00,9.80518
252.00,11.46673
253.00,13.47381
254.00,15.42913
255.00,18.15814
256.00,20.54704
257.00,23.21753
258.00,25.87964
259.00,28.49452
260.00,30.67053
261.00,32.68098
262.00,34.73210
263.00,36.28158
264.00,37.63043
265.00,38.54493
266.00,39.24907
267.00,39.65512
268.00,40.03825
269.00,39.88906
270.00,39.98725
271.00,39.84743
272.00,40.04731
273.00,39.75484
274.00,39.94458
275.00,40.06092
276.00,40.67968
277.00,40.26825
278.00,41.09814
279.00,41.21046
280.00,41.45512
281.00,42.18963
282.00,42.50000
283.00,42.92150
284.00,42.89273
285.00,43.34711
286.00,43.21038
287.00,43.21986
288.00,43.44334
289.00,43.19322
290.00,43.16297
291.00,42.82872
292.00,42.91369
293.00,42.65478
294.00,42.98427
295.00,42.61106
296.00,42.70691
297.00,42.54721
298.00,42.56729
299.00,42.70099
300.00,43.02955
301.00,42.97423
302.00,43.55422
303.00,43.70811
304.00,43.79001
305.00,43.94716
306.00,43.98773
307.00,44.64487
308.00,44.59830
309.00,45.08467
310.00,45.22239
311.00,45.56419
312.00,45.40585
313.00,45.37363
314.00,45.73601
315.00,45.66469
316.00,45.52437
317.00,45.16186
318.00,45.61123
319.00,45.04936
320.00,44.87557
321.00,44.78665
322.00,44.83050
323.00,44.63053
324.00,44.62659
325.00,44.45983
326.00,43.77831
327.00,44.03175
328.00,44.16049
329.00,44.28872
330.00,44.16964
331.00,44.13073
332.00,44.35697
333.00,44.45734
334.00,44.51849
335.00,44.68433
336.00,44.77296
337.00,45.01939
338.00,45.14705
339.00,45.21280
340.00,45.32894
341.00,45.93774
342.00,45.85780
343.00,45.96863
344.00,46.28563
345.00,46.13922
346.00,46.28814
347.00,46.58142
348.00,46.46088
349.00,46.75315
350.00,46.84125
351.00,46.77972
352.00,47.20235
353.00,46.78955
354.00,46.82669
355.00,46.85772
356.00,46.46073
357.00,46.81291
358.00,46.40101
359.00,46.42362
360.00,46.37392
361.00,46.05666
362.00,45.80954
363.00,45.92518
364.00,45.93202
365.00,46.07028
366.00,45.57667
367.00,45.90050
368.00,45.70315
369.00,45.53657
370.00,45.58501
371.00,45.69347
372.00,45.50479
373.00,45.55092
374.00,45.66940
375.00,45.59309
376.00,45.49147
377.00,45.65779
378.00,45.66883
379.00,45.80833
380.00,46.04964
381.00,46.21993
382.00,46.15383
383.00,46.22842
384.00,46.50179
385.00,46.53592
386.00,46.76375
387.00,46.87152
388.00,46.87730
389.00,47.09772
390.00,47.25729
391.00,47.31184
392.00,47.55107
393.00,47.58371
394.00,47.74989
395.00,47.88366
396.00,48.02320
397.00,47.87887
398.00,48.12511
399.00,48.24338
400.00,48.09363
401.00,48.30667
402.00,48.24534
403.00,48.24252
404.00,48.21246
405.00,48.34768
406.00,48.40937
407.00,48.32867
408.00,48.20883
409.00,48.25093
410.00,48.23006
411.00,48.05940
412.00,47.96284
413.00,47.91938
414.00,47.92576
415.00,47.88028
416.00,47.86856
417.00,47.71194
418.00,47.66113
419.00,47.45415
420.00,47.54880
421.00,47.48093
422.00,47.33868
423.00,47.31403
424.00,47.41428
425.00,47.29793
426.00,47.22795
427.00,47.09721
428.00,47.26671
429.00,47.10692
430.00,47.03553
431.00,47.05890
432.00,47.08748
433.00,46.97027
434.00,47.05279
435.00,47.02819
436.00,47.05806
437.00,47.12636
438.00,47.10850
439.00,47.25521
440.00,47.06751
441.00,47.30243
442.00,47.35523
443.00,47.46174
444.00,47.60573
445.00,47.58283
446.00,47.60092
447.00,47.79987
448.00,47.80912
449.00,47.90400
450.00,48.06141
451.00,48.03900
452.00,48.17349
453.00,48.32883
454.00,48.39526
455.00,48.54239
456.00,48.58088
457.00,48.69187
458.00,48.78726
459.00,48.87503
460.00,48.97681
461.00,49.07843
462.00,49.10604
463.00,49.17164
464.00,49.24478
465.00,49.34039
466.00,49.43347
467.00,49.43124
468.00,49.48592
469.00,49.59316
470.00,49.69163
471.00,49.66913
472.00,49.77584
473.00,49.79112
474.00,49.83317
475.00,49.85591
476.00,49.93462
477.00,49.84270
478.00,49.96243
479.00,49.91534
480.00,49.98231
481.00,49.95014
482.00,49.93644
483.00,49.91762
484.00,49.93016
485.00,49.92055
486.00,49.94457
487.00,49.87883
488.00,49.71808
489.00,49.72929
490.00,49.74459
491.00,49.62441
492.00,49.54422
493.00,49.58061
494.00,49.57863
495.00,49.49349
496.00,49.53723
497.00,49.41905
498.00,49.35202
499.00,49.38320
500.00,49.26881
501.00,49.25638
502.00,49.19893
503.00,49.19485
504.00,49.20425
505.00,49.12190
506.00,49.04286
507.00,49.09842
508.00,49.00116
509.00,48.91957
510.00,48.97000
511.00,48.85724
512.00,48.79605
513.00,48.78625
514.00,48.79916
515.00,48.74492
516.00,48.78241
517.00,48.75471
518.00,48.83405
519.00,48.77149
520.00,48.75749
521.00,48.73612
522.00,48.72685
523.00,48.83150
524.00,48.80060
525.00,48.75398
526.00,48.76839
527.00,48.79658
528.00,48.97282
529.00,48.87310
530.00,48.88812
531.00,48.91594
532.00,48.93633
533.00,48.96067
534.00,49.11465
535.00,49.13648
536.00,49.06125
537.00,49.18593
538.00,49.20746
539.00,49.27334
540.00,49.33628
541.00,49.38093
542.00,49.37113
543.00,49.38442
544.00,49.52865
545.00,49.52385
546.00,49.70143
547.00,49.77150
548.00,49.75863
549.00,49.85705
550.00,49.91514
551.00,49.97839
552.00,49.98460
553.00,50.08829
554.00,50.24762
555.00,50.29004
556.00,50.36031
557.00,50.42260
558.00,50.41272
559.00,50.59302
560.00,50.60105
561.00,50.64340
562.00,50.72448
563.00,50.98024
564.00,50.86629
565.00,50.94733
566.00,51.00840
567.00,51.00471
568.00,51.14271
569.00,51.20363
570.00,51.20910
571.00,51.22496
572.00,51.42468
573.00,51.44393
574.00,51.47783
575.00,51.47752
576.00,51.50864
577.00,51.65095
578.00,51.64398
579.00,51.76681
580.00,51.74003
581.00,51.75928
582.00,51.84232
583.00,51.86642
584.00,51.81431
585.00,51.91450
586.00,51.93275
587.00,51.94578
588.00,51.94646
589.00,51.87677
590.00,51.92709
591.00,51.96715
592.00,52.03972
593.00,52.04360
594.00,51.97683
595.00,51.91260
596.00,52.02708
597.00,52.02806
598.00,51.96831
599.00,52.07348
600.00,51.98699
601.00,52.03838
602.00,52.02993
603.00,51.98948
604.00,51.94561
605.00,51.96760
606.00,51.92400
607.00,52.00082
608.00,51.88343
609.00,51.91973
610.00,51.90802
611.00,51.80000
612.00,51.85409
613.00,51.73805
614.00,51.77501
615.00,51.82920
616.00,51.86664
617.00,51.80207
618.00,51.64405
619.00,51.69864
620.00,51.65198
621.00,51.70312
622.00,51.61130
623.00,51.55635
624.00,51.56015
625.00,51.49196
626.00,51.46650
627.00,51.58930
628.00,51.49751
629.00,51.56343
630.00,51.41596
631.00,51.32375
632.00,51.37347
633.00,51.21673
634.00,51.39261
635.00,51.29344
636.00,51.29520
637.00,51.36658
638.00,51.17241
639.00,51.27339
640.00,51.24033
641.00,51.14845
642.00,51.17766
643.00,51.26145
644.00,51.13357
645.00,51.17145
646.00,51.22141
647.00,51.10745
648.00,51.10605
649.00,51.08306
650.00,51.14413
651.00,50.99531
652.00,51.03125
653.00,50.94734
654.00,51.13301
655.00,51.03922
656.00,50.99819
657.00,51.06976
658.00,51.02379
659.00,50.97131
660.00,51.13388
661.00,51.01119
662.00,51.10096
663.00,51.02237
664.00,51.10838
665.00,50.96306
666.00,51.17248
667.00,51.17370
668.00,51.27913
669.00,51.21705
670.00,51.01233
671.00,51.18977
672.00,51.28438
673.00,51.23582
674.00,51.29399
675.00,51.34917
676.00,51.34779
677.00,51.30233
678.00,51.39660
679.00,51.32378
680.00,51.40737
681.00,51.34175
682.00,51.39897
683.00,51.44975
684.00,51.43824
685.00,51.43313
686.00,51.43341
687.00,51.55557
688.00,51.68658
689.00,51.76665
690.00,51.50170
691.00,51.67797
692.00,51.71826
