"MN1094VSlowTrans - RawData"
"Wavelength nm.","T%"
190.00,1.95897
191.00,1.30520
192.00,0.98939
193.00,0.47328
194.00,0.56314
195.00,0.30188
196.00,0.26724
197.00,0.23876
198.00,0.24761
199.00,0.18661
200.00,0.17856
201.00,0.17011
202.00,0.16869
203.00,0.14262
204.00,0.12985
205.00,0.10570
206.00,0.10908
207.00,0.10718
208.00,0.09828
209.00,0.07920
210.00,0.07606
211.00,0.08440
212.00,0.08445
213.00,0.06890
214.00,0.06323
215.00,0.07228
216.00,0.06572
217.00,0.06566
218.00,0.06559
219.00,0.06809
220.00,0.06095
221.00,0.06195
222.00,0.06263
223.00,0.06101
224.00,0.06388
225.00,0.06233
226.00,0.07066
227.00,0.07300
228.00,0.07272
229.00,0.06575
230.00,0.07441
231.00,0.06898
232.00,0.07718
233.00,0.07941
234.00,0.08935
235.00,0.14751
236.00,0.34960
237.00,0.88067
238.00,2.13189
239.00,4.54292
240.00,8.10135
241.00,13.08682
242.00,18.64485
243.00,24.49931
244.00,29.90221
245.00,34.47405
246.00,38.14732
247.00,40.94452
248.00,43.07726
249.00,44.74560
250.00,46.04599
251.00,47.13264
252.00,47.92520
253.00,48.75867
254.00,49.49735
255.00,50.06747
256.00,50.65942
257.00,51.32377
258.00,51.83669
259.00,52.19745
260.00,52.67470
261.00,53.22164
262.00,53.55225
263.00,53.86655
264.00,54.11587
265.00,54.55022
266.00,54.77774
267.00,54.82384
268.00,55.20446
269.00,55.29602
270.00,55.38955
271.00,55.56670
272.00,55.66548
273.00,55.77581
274.00,55.97585
275.00,56.01853
276.00,56.28421
277.00,56.19846
278.00,56.40979
279.00,56.45198
280.00,56.55851
281.00,56.65256
282.00,56.67872
283.00,56.78062
284.00,56.88635
285.00,57.12808
286.00,57.15921
287.00,57.23709
288.00,57.24305
289.00,57.42735
290.00,57.58280
291.00,57.61532
292.00,57.72484
293.00,57.91134
294.00,57.91713
295.00,58.03258
296.00,58.15006
297.00,58.03415
298.00,58.27505
299.00,58.27177
300.00,58.32820
301.00,58.42072
302.00,58.49537
303.00,58.59712
304.00,58.62300
305.00,58.59691
306.00,58.72537
307.00,58.87643
308.00,58.77716
309.00,58.84242
310.00,58.93190
311.00,58.94473
312.00,59.00049
313.00,58.97634
314.00,59.06351
315.00,59.20796
316.00,59.13326
317.00,59.18786
318.00,59.28865
319.00,59.37281
320.00,59.43870
321.00,59.45793
322.00,59.49274
323.00,59.54612
324.00,59.44983
325.00,59.53971
326.00,59.58481
327.00,59.70581
328.00,59.58844
329.00,59.73601
330.00,59.85423
331.00,59.84386
332.00,59.68658
333.00,59.83049
334.00,59.67815
335.00,59.93977
336.00,60.07934
337.00,60.05741
338.00,60.05588
339.00,60.05036
340.00,59.94004
341.00,60.02682
342.00,60.03505
343.00,60.07953
344.00,60.10830
345.00,60.14755
346.00,60.22918
347.00,60.16751
348.00,60.07575
349.00,60.16054
350.00,60.14772
351.00,60.21476
352.00,60.29285
353.00,60.32518
354.00,60.36614
355.00,60.31234
356.00,60.38824
357.00,60.33152
358.00,60.40751
359.00,60.43190
360.00,60.39473
361.00,60.45625
362.00,60.45624
363.00,60.50744
364.00,60.49437
365.00,60.43593
366.00,60.45190
367.00,60.50298
368.00,60.51015
369.00,60.51434
370.00,60.55334
371.00,60.54617
