"DiffRecSample1Train2 - RawData"
"Wavelength nm.","R%"
190.00,1.14355
191.00,4.82792
192.00,4.64199
193.00,3.41993
194.00,3.40969
195.00,3.19228
196.00,4.13326
197.00,4.07501
198.00,3.96665
199.00,3.84471
200.00,4.18631
201.00,4.13596
202.00,4.11503
203.00,4.08359
204.00,4.11496
205.00,3.56185
206.00,4.13587
207.00,4.11896
208.00,4.18498
209.00,4.07080
210.00,4.05916
211.00,4.35514
212.00,4.41653
213.00,4.54886
214.00,4.16782
215.00,4.26793
216.00,4.23237
217.00,4.10458
218.00,4.01215
219.00,4.03123
220.00,4.17037
221.00,4.10969
222.00,4.00162
223.00,4.06119
224.00,3.83753
225.00,3.88154
226.00,3.90863
227.00,3.71513
228.00,3.86292
229.00,3.93001
230.00,3.84882
231.00,3.91150
232.00,3.90051
233.00,3.88839
234.00,3.90834
235.00,3.89159
236.00,3.83804
237.00,3.83797
238.00,4.01269
239.00,3.96369
240.00,3.98155
241.00,3.84566
242.00,3.94076
243.00,4.01451
244.00,3.94152
245.00,3.89502
246.00,3.94548
247.00,4.00154
248.00,3.92689
249.00,3.95363
250.00,4.08918
251.00,3.91400
252.00,4.21836
253.00,4.25495
254.00,4.53892
255.00,4.88344
256.00,5.43427
257.00,6.19273
258.00,7.02914
259.00,8.12795
260.00,9.01893
261.00,9.71546
262.00,10.63920
263.00,11.23429
264.00,12.07046
265.00,12.64060
266.00,13.17485
267.00,13.96051
268.00,14.93440
269.00,15.37663
270.00,15.83189
271.00,16.38778
272.00,16.74625
273.00,17.09138
274.00,17.15977
275.00,17.09035
276.00,17.25682
277.00,17.34715
278.00,17.15557
279.00,17.38244
280.00,17.19487
281.00,17.29250
282.00,17.37900
283.00,17.21607
284.00,17.55280
285.00,17.46382
286.00,18.02865
287.00,18.28799
288.00,18.27839
289.00,18.50549
290.00,18.66642
291.00,18.66732
292.00,18.96447
293.00,18.84907
294.00,18.71022
295.00,18.98464
296.00,18.80210
297.00,18.44997
298.00,18.33925
299.00,18.29296
300.00,18.17541
301.00,17.89995
302.00,18.01054
303.00,17.96569
304.00,17.83204
305.00,17.65801
306.00,17.94457
307.00,17.82760
308.00,17.98244
309.00,17.79942
310.00,18.01080
311.00,18.23744
312.00,18.09703
313.00,18.40245
314.00,18.67014
315.00,18.69208
316.00,18.56521
317.00,18.74237
318.00,18.62354
319.00,18.92098
320.00,18.88126
321.00,18.81801
322.00,18.69477
323.00,18.52355
324.00,18.56855
325.00,18.32767
326.00,18.20112
327.00,18.21104
328.00,18.01522
329.00,17.82715
330.00,17.74496
331.00,17.86272
332.00,17.60601
333.00,17.59862
334.00,17.38781
335.00,17.42441
336.00,17.49184
337.00,17.49328
338.00,17.43697
339.00,17.57497
340.00,17.71903
341.00,17.71663
342.00,17.75648
343.00,17.86461
344.00,17.73062
345.00,18.06782
346.00,18.02345
347.00,18.21946
348.00,18.15859
349.00,17.98643
350.00,18.07946
351.00,18.14837
352.00,18.29560
353.00,18.24782
354.00,17.98487
355.00,18.19747
356.00,17.81929
357.00,18.00271
358.00,17.80553
359.00,17.77651
360.00,17.69854
361.00,17.68156
362.00,17.46098
363.00,17.44956
364.00,17.29122
365.00,17.19661
366.00,17.07536
367.00,17.07790
368.00,16.90552
369.00,16.96725
370.00,16.84732
371.00,16.70395
372.00,16.82125
373.00,16.73135
374.00,16.61079
375.00,16.68640
376.00,16.71725
377.00,16.75440
378.00,16.82200
379.00,16.87930
380.00,16.94069
381.00,16.83881
382.00,17.05091
383.00,17.00324
384.00,17.11010
385.00,17.23261
386.00,17.25155
387.00,17.32347
388.00,17.20869
389.00,17.31505
390.00,17.42579
391.00,17.38252
392.00,17.37166
393.00,17.35979
394.00,17.34666
395.00,17.43715
396.00,17.34718
397.00,17.39228
398.00,17.35582
399.00,17.25153
400.00,17.27216
401.00,17.35929
402.00,17.23302
403.00,17.10050
404.00,16.97688
405.00,16.93406
406.00,16.94723
407.00,16.87403
408.00,16.81554
409.00,16.76777
410.00,16.53958
411.00,16.56279
412.00,16.47316
413.00,16.36984
414.00,16.28771
415.00,16.32606
416.00,16.24402
417.00,16.14136
418.00,16.11158
419.00,16.06673
420.00,15.99469
421.00,15.99163
422.00,16.02404
423.00,15.91923
424.00,15.97317
425.00,15.93475
426.00,15.93307
427.00,15.88128
428.00,15.94649
429.00,15.86773
430.00,15.90054
431.00,15.95945
432.00,15.92185
433.00,15.96005
434.00,15.98594
435.00,16.07046
436.00,15.98185
437.00,16.10428
438.00,16.15647
439.00,16.14910
440.00,16.15612
441.00,16.19210
442.00,16.22601
443.00,16.28114
444.00,16.26913
445.00,16.40484
446.00,16.35182
447.00,16.36252
448.00,16.38222
449.00,16.39086
450.00,16.36277
451.00,16.42704
452.00,16.48374
453.00,16.33557
454.00,16.41019
455.00,16.45084
456.00,16.35195
457.00,16.41160
458.00,16.25299
459.00,16.25273
460.00,16.30952
461.00,16.26642
462.00,16.15871
463.00,16.16503
464.00,16.17612
465.00,16.15336
466.00,16.00429
467.00,16.01557
468.00,15.95346
469.00,15.92625
470.00,15.85365
471.00,15.79841
472.00,15.78818
473.00,15.69434
474.00,15.59258
475.00,15.59770
476.00,15.55595
477.00,15.45681
478.00,15.44262
479.00,15.41074
480.00,15.34310
481.00,15.30544
482.00,15.24509
483.00,15.20474
484.00,15.17111
485.00,15.09695
486.00,15.05101
487.00,14.98723
488.00,15.06360
489.00,14.96968
490.00,15.00209
491.00,14.95169
492.00,14.87216
493.00,14.88794
494.00,14.86533
495.00,14.87021
496.00,14.86771
497.00,14.82136
498.00,14.90715
499.00,14.89460
500.00,14.87968
501.00,14.84004
502.00,14.86496
503.00,14.84286
504.00,14.85536
505.00,14.84708
506.00,14.92739
507.00,14.91574
508.00,14.93739
509.00,14.93429
510.00,14.99402
511.00,14.93715
512.00,15.02277
513.00,14.99746
514.00,15.03105
515.00,15.14389
516.00,15.13135
517.00,15.10946
518.00,15.15081
519.00,15.13809
520.00,15.19655
521.00,15.15353
522.00,15.18081
523.00,15.19359
524.00,15.22045
525.00,15.20334
526.00,15.19855
527.00,15.24174
528.00,15.28201
529.00,15.29550
530.00,15.33475
531.00,15.31222
532.00,15.36547
533.00,15.31684
534.00,15.31204
535.00,15.24459
536.00,15.31921
537.00,15.24941
538.00,15.23529
539.00,15.33471
540.00,15.27205
541.00,15.27718
542.00,15.13749
543.00,15.25383
544.00,15.19526
545.00,15.14345
546.00,15.11454
547.00,15.17100
548.00,15.12370
549.00,15.04352
550.00,15.00897
551.00,15.02973
552.00,14.98809
553.00,15.00108
554.00,14.92535
555.00,14.86765
556.00,14.82006
557.00,14.80579
558.00,14.76412
559.00,14.72343
560.00,14.65145
561.00,14.63908
562.00,14.60622
563.00,14.59769
564.00,14.50368
565.00,14.49697
566.00,14.44127
567.00,14.41464
568.00,14.36904
569.00,14.34413
570.00,14.32417
571.00,14.27442
572.00,14.28943
573.00,14.19499
574.00,14.15163
575.00,14.10876
576.00,14.10532
577.00,14.04455
578.00,14.04325
579.00,14.02592
580.00,14.01605
581.00,13.91292
582.00,13.93455
583.00,13.87966
584.00,13.84857
585.00,13.82342
586.00,13.82950
587.00,13.81952
588.00,13.84227
589.00,13.72965
590.00,13.73802
591.00,13.67788
592.00,13.71785
593.00,13.73239
594.00,13.68774
595.00,13.70690
596.00,13.68534
597.00,13.70164
598.00,13.63255
599.00,13.64014
600.00,13.62452
601.00,13.61796
602.00,13.60803
603.00,13.63496
604.00,13.66509
605.00,13.62424
606.00,13.62775
607.00,13.64803
608.00,13.51113
609.00,13.63705
610.00,13.64159
611.00,13.64374
612.00,13.69731
613.00,13.58085
614.00,13.60593
615.00,13.68416
616.00,13.57151
617.00,13.64674
618.00,13.65463
619.00,13.70470
620.00,13.69232
621.00,13.68413
622.00,13.68247
623.00,13.67565
624.00,13.75094
625.00,13.74312
626.00,13.75178
627.00,13.74233
628.00,13.70332
629.00,13.78729
630.00,13.82166
631.00,13.74293
632.00,13.78048
633.00,13.78804
634.00,13.79161
635.00,13.81384
636.00,13.84711
637.00,13.86518
638.00,13.80353
639.00,13.82250
640.00,13.85954
641.00,13.92795
642.00,13.86907
643.00,13.88153
