"Sam9VSlowTrans - RawData"
"Wavelength nm.","T%"
190.00,1.14200
191.00,1.00723
192.00,0.84335
193.00,0.22950
194.00,0.69187
195.00,0.38591
196.00,0.40937
197.00,0.29001
198.00,0.30675
199.00,0.27154
200.00,0.34952
201.00,0.30618
202.00,0.18973
203.00,0.26875
204.00,0.28773
205.00,0.16032
206.00,0.22979
207.00,0.22694
208.00,0.24722
209.00,0.18799
210.00,0.22092
211.00,0.18351
212.00,0.18832
213.00,0.16370
214.00,0.18077
215.00,0.20376
216.00,0.17669
217.00,0.18039
218.00,0.22373
219.00,0.19087
220.00,0.19586
221.00,0.19782
222.00,0.20317
223.00,0.20855
224.00,0.20371
225.00,0.19124
226.00,0.19658
227.00,0.18857
228.00,0.17033
229.00,0.18480
230.00,0.18005
231.00,0.18886
232.00,0.16261
233.00,0.17319
234.00,0.16541
235.00,0.15196
236.00,0.18353
237.00,0.21114
238.00,0.22478
239.00,0.25900
240.00,0.31649
241.00,0.38158
242.00,0.46501
243.00,0.53793
244.00,0.65391
245.00,0.79028
246.00,0.93321
247.00,1.11049
248.00,1.33775
249.00,1.61318
250.00,1.93551
251.00,2.37047
252.00,2.97232
253.00,3.79867
254.00,4.93736
255.00,6.54550
256.00,8.68414
257.00,11.47347
258.00,14.86640
259.00,18.59803
260.00,22.67520
261.00,26.62900
262.00,30.45603
263.00,33.59108
264.00,36.19725
265.00,38.85048
266.00,41.31652
267.00,43.52878
268.00,45.14177
269.00,45.97246
270.00,46.66543
271.00,47.33226
272.00,48.41104
273.00,49.83097
274.00,51.06677
275.00,51.60338
276.00,51.53398
277.00,51.15982
278.00,51.31842
279.00,51.86858
280.00,52.83139
281.00,53.86196
282.00,54.58200
283.00,54.85852
284.00,54.61023
285.00,54.19628
286.00,54.03545
287.00,54.18726
288.00,54.66647
289.00,55.53294
290.00,56.37081
291.00,57.03434
292.00,57.33241
293.00,56.96803
294.00,56.53544
295.00,56.08822
296.00,55.77762
297.00,55.87555
298.00,56.39784
299.00,57.12612
300.00,57.90014
301.00,58.45506
302.00,58.71972
303.00,58.41408
304.00,58.08690
305.00,57.49038
306.00,57.07466
307.00,56.89042
308.00,57.04375
309.00,57.25539
310.00,57.80337
311.00,58.55151
312.00,59.24990
313.00,59.49684
314.00,59.64015
315.00,59.25455
316.00,58.83005
317.00,58.31299
318.00,57.77301
319.00,57.60907
320.00,57.61191
321.00,58.01665
322.00,58.12737
323.00,59.01642
324.00,59.25616
325.00,59.79009
326.00,60.03465
327.00,60.02029
328.00,59.76588
329.00,59.42923
330.00,59.01844
331.00,58.53714
332.00,58.16801
333.00,58.03211
334.00,57.97457
335.00,58.35051
336.00,58.78742
337.00,59.15246
338.00,59.78872
339.00,60.14082
340.00,60.49289
341.00,60.66236
342.00,60.57005
343.00,60.35658
344.00,59.99891
345.00,59.51540
346.00,59.13771
347.00,58.66451
348.00,58.58316
349.00,58.36154
350.00,58.55090
351.00,58.86649
352.00,59.22310
353.00,59.68379
354.00,60.15867
355.00,60.64633
356.00,60.76556
357.00,61.02886
358.00,61.02023
359.00,60.93526
360.00,60.63917
361.00,60.37298
362.00,59.98902
363.00,59.60484
364.00,59.27166
365.00,59.01181
366.00,58.85644
367.00,58.87867
368.00,59.03593
369.00,59.33521
370.00,59.80639
371.00,60.07019
372.00,60.63058
373.00,60.86584
374.00,61.16750
375.00,61.31402
376.00,61.41428
377.00,61.32288
378.00,61.12676
379.00,60.94980
380.00,60.58393
381.00,60.27624
382.00,59.94067
383.00,59.60689
384.00,59.33507
385.00,59.22956
386.00,59.17556
387.00,59.24200
388.00,59.41044
389.00,59.63251
390.00,59.97353
391.00,60.30916
392.00,60.72943
393.00,61.09889
394.00,61.37829
395.00,61.65849
396.00,61.78245
397.00,61.84760
398.00,61.83673
399.00,61.72276
400.00,61.53632
401.00,61.28211
402.00,61.00522
403.00,60.66268
404.00,60.34349
405.00,60.13556
406.00,59.91024
407.00,59.71278
408.00,59.64199
409.00,59.62440
410.00,59.71453
411.00,59.83827
412.00,60.06051
413.00,60.39030
414.00,60.63365
415.00,60.97666
416.00,61.32504
417.00,61.63830
418.00,61.88941
419.00,62.10146
420.00,62.21657
421.00,62.24977
422.00,62.25350
423.00,62.14385
424.00,62.03905
425.00,61.82907
426.00,61.58669
427.00,61.34837
428.00,61.08814
429.00,60.86052
430.00,60.60551
431.00,60.36944
432.00,60.23595
433.00,60.10217
434.00,60.05709
435.00,60.04786
436.00,60.08837
437.00,60.22038
438.00,60.41392
439.00,60.64461
440.00,60.92399
441.00,61.23215
442.00,61.51158
443.00,61.82731
444.00,62.01062
445.00,62.29209
446.00,62.49261
447.00,62.67394
448.00,62.80176
449.00,62.79839
450.00,62.75470
451.00,62.66446
452.00,62.58937
453.00,62.45776
454.00,62.28970
455.00,62.00905
456.00,61.79264
457.00,61.52285
458.00,61.26820
459.00,61.06396
460.00,60.88131
461.00,60.72475
462.00,60.56845
463.00,60.47375
464.00,60.44637
465.00,60.46892
466.00,60.55285
467.00,60.66257
468.00,60.80200
469.00,61.00362
470.00,61.18293
471.00,61.40549
472.00,61.62093
473.00,61.92032
474.00,62.14286
475.00,62.39976
476.00,62.61277
477.00,62.79004
478.00,62.97473
479.00,63.12680
480.00,63.20503
481.00,63.27524
482.00,63.28702
483.00,63.24644
484.00,63.14639
485.00,62.99060
486.00,62.88795
487.00,62.69207
488.00,62.49324
489.00,62.30069
490.00,62.08652
491.00,61.87630
492.00,61.71693
493.00,61.52965
494.00,61.35840
495.00,61.21435
496.00,61.10179
497.00,61.02456
498.00,60.92119
499.00,60.93163
500.00,60.95588
501.00,60.99270
502.00,61.11944
503.00,61.26019
504.00,61.31623
505.00,61.48845
506.00,61.73297
507.00,61.90810
508.00,62.13659
509.00,62.37555
510.00,62.61286
511.00,62.86489
512.00,63.03257
513.00,63.18693
514.00,63.35816
515.00,63.52928
516.00,63.62990
517.00,63.75845
518.00,63.82802
519.00,63.88381
520.00,63.85559
521.00,63.81900
522.00,63.79585
523.00,63.73641
524.00,63.59157
525.00,63.46851
526.00,63.30689
527.00,63.15930
528.00,62.98391
529.00,62.82308
530.00,62.56927
531.00,62.42690
532.00,62.27146
533.00,62.08653
534.00,61.91602
535.00,61.82387
536.00,61.70573
537.00,61.59223
538.00,61.53010
539.00,61.51481
540.00,61.48312
541.00,61.48044
542.00,61.53339
543.00,61.60452
544.00,61.66682
545.00,61.74563
546.00,61.90057
547.00,62.03727
548.00,62.20636
549.00,62.34606
550.00,62.55292
551.00,62.73153
552.00,62.94501
553.00,63.11991
554.00,63.33249
555.00,63.53400
556.00,63.69504
557.00,63.84246
558.00,63.97723
559.00,64.13624
560.00,64.18899
561.00,64.28187
562.00,64.41128
563.00,64.41399
564.00,64.44233
565.00,64.47245
566.00,64.44724
567.00,64.41195
568.00,64.38057
569.00,64.27590
570.00,64.15823
571.00,64.08188
572.00,63.96966
573.00,63.82742
574.00,63.66000
575.00,63.53349
576.00,63.36168
577.00,63.17840
578.00,63.02454
579.00,62.92306
580.00,62.80050
581.00,62.61057
582.00,62.54237
583.00,62.42976
584.00,62.34328
585.00,62.27914
586.00,62.20583
587.00,62.15482
588.00,62.13079
589.00,62.11582
590.00,62.12078
591.00,62.15625
592.00,62.23411
593.00,62.26150
594.00,62.30537
595.00,62.46737
596.00,62.52315
597.00,62.65949
598.00,62.79283
599.00,62.94630
600.00,63.09436
601.00,63.19309
602.00,63.39872
603.00,63.54201
604.00,63.70030
605.00,63.86017
606.00,63.99822
607.00,64.16005
608.00,64.30377
609.00,64.47551
610.00,64.56101
611.00,64.71555
612.00,64.81991
613.00,64.90431
614.00,65.01347
615.00,65.10435
616.00,65.15447
617.00,65.19949
618.00,65.21765
619.00,65.23833
620.00,65.19889
621.00,65.16138
622.00,65.16700
623.00,65.11763
624.00,65.08465
625.00,64.95599
626.00,64.86268
627.00,64.77984
628.00,64.68981
629.00,64.57353
630.00,64.48372
631.00,64.34250
632.00,64.21549
633.00,64.13481
634.00,63.99159
635.00,63.82523
636.00,63.72591
637.00,63.62519
638.00,63.49050
639.00,63.38392
640.00,63.25958
641.00,63.22418
642.00,63.14113
643.00,63.08646
644.00,63.00670
645.00,62.99885
646.00,62.91967
647.00,62.89393
648.00,62.88485
649.00,62.91304
650.00,62.91769
651.00,62.88913
652.00,62.93966
653.00,62.98726
654.00,63.04950
655.00,63.13857
656.00,63.19188
657.00,63.31667
658.00,63.39266
659.00,63.50917
660.00,63.59221
661.00,63.74128
662.00,63.86042
663.00,63.95079
664.00,64.08644
665.00,64.21951
666.00,64.44222
667.00,64.52662
668.00,64.65942
669.00,64.78906
670.00,64.85878
671.00,65.08335
672.00,65.18160
673.00,65.33234
674.00,65.39544
675.00,65.45458
676.00,65.58895
677.00,65.69334
678.00,65.84490
679.00,65.88010
680.00,65.88877
681.00,65.98158
682.00,66.03230
683.00,66.09840
684.00,66.08205
685.00,66.20100
686.00,66.11502
687.00,66.08307
688.00,66.08666
689.00,66.10439
690.00,66.00860
691.00,65.97942
692.00,65.87786
693.00,65.86508
694.00,65.80588
695.00,65.68031
696.00,65.62712
697.00,65.49135
698.00,65.47182
699.00,65.38185
700.00,65.30045
701.00,65.21654
702.00,65.10731
703.00,65.02154
704.00,64.87495
705.00,64.81287
706.00,64.66457
707.00,64.55972
708.00,64.51228
709.00,64.39983
710.00,64.30881
711.00,64.29336
712.00,64.17214
713.00,64.16210
714.00,64.03547
715.00,63.99392
716.00,63.93620
717.00,63.86591
718.00,63.80048
719.00,63.82605
720.00,63.86864
721.00,63.83008
722.00,63.82413
723.00,63.85056
724.00,63.80819
725.00,63.83570
726.00,63.84805
727.00,63.86610
728.00,63.93998
729.00,64.04310
730.00,64.07430
731.00,64.12190
732.00,64.28711
733.00,64.27372
734.00,64.34357
735.00,64.40898
736.00,64.51685
737.00,64.65891
738.00,64.75594
739.00,64.89007
740.00,64.85252
741.00,65.01324
742.00,65.08324
743.00,65.25929
744.00,65.38972
745.00,65.43351
746.00,65.56336
747.00,65.66696
748.00,65.81601
749.00,65.91599
750.00,66.02042
751.00,66.18841
752.00,66.28320
753.00,66.47823
754.00,66.53364
755.00,66.71186
756.00,66.55641
757.00,66.66815
758.00,66.80970
759.00,66.86502
760.00,66.84872
761.00,67.04105
762.00,67.06250
763.00,67.20923
764.00,67.05981
765.00,67.22361
766.00,67.23354
767.00,67.18891
768.00,67.12778
769.00,67.22346
770.00,67.23468
771.00,67.16148
772.00,67.20867
773.00,67.23662
774.00,67.13026
775.00,67.12072
776.00,67.12565
777.00,67.06805
778.00,67.12450
779.00,67.02368
780.00,66.80971
781.00,66.99387
782.00,66.56177
783.00,66.75319
784.00,66.82545
785.00,66.61806
786.00,66.66405
787.00,66.42036
788.00,66.47007
789.00,66.25001
790.00,66.09301
791.00,66.03655
792.00,65.93252
793.00,65.98375
794.00,65.84337
795.00,65.83654
796.00,65.72112
797.00,65.59311
798.00,65.43909
799.00,65.52542
800.00,65.35952
