"DiffRefSampleBVSlow070622 - RawData"
"Wavelength nm.","R%"
190.00,11.06513
191.00,9.99337
192.00,9.84176
193.00,9.55503
194.00,9.38146
195.00,8.96021
196.00,8.79976
197.00,8.63945
198.00,8.61640
199.00,8.48604
200.00,8.35202
201.00,8.18063
202.00,8.18595
203.00,8.27181
204.00,8.29824
205.00,8.21666
206.00,8.17972
207.00,8.16584
208.00,8.16499
209.00,8.07166
210.00,8.11579
211.00,8.14576
212.00,7.99356
213.00,8.03093
214.00,7.91510
215.00,7.86290
216.00,7.82187
217.00,7.73799
218.00,7.60968
219.00,7.57948
220.00,7.50653
221.00,7.39647
222.00,7.34817
223.00,7.30174
224.00,7.24389
225.00,7.17554
226.00,7.16521
227.00,7.12355
228.00,7.02332
229.00,6.98459
230.00,6.95102
231.00,6.87015
232.00,6.87596
233.00,6.85429
234.00,6.79036
235.00,6.74019
236.00,6.74825
237.00,6.66522
238.00,6.68419
239.00,6.62859
240.00,6.59931
241.00,6.57094
242.00,6.52329
243.00,6.47218
244.00,6.42780
245.00,6.37626
246.00,6.30119
247.00,6.24000
248.00,6.19657
249.00,6.11174
250.00,6.13589
251.00,6.19799
252.00,6.29889
253.00,6.50516
254.00,6.79316
255.00,7.15943
256.00,7.57411
257.00,8.03578
258.00,8.47929
259.00,8.98316
260.00,9.58954
261.00,10.30790
262.00,11.23417
263.00,12.24452
264.00,13.33250
265.00,14.48503
266.00,15.50724
267.00,16.49608
268.00,17.26066
269.00,17.82380
270.00,18.19083
271.00,18.41909
272.00,18.48012
273.00,18.50101
274.00,18.50077
275.00,18.53678
276.00,18.61994
277.00,18.83981
278.00,19.09038
279.00,19.39850
280.00,19.81589
281.00,20.20032
282.00,20.63647
283.00,21.05762
284.00,21.37168
285.00,21.63627
286.00,21.80368
287.00,21.83415
288.00,21.84242
289.00,21.76798
290.00,21.65672
291.00,21.46707
292.00,21.26704
293.00,21.02565
294.00,20.84224
295.00,20.69496
296.00,20.51107
297.00,20.46595
298.00,20.37078
299.00,20.39397
300.00,20.47226
301.00,20.59396
302.00,20.72987
303.00,20.86098
304.00,21.07623
305.00,21.24822
306.00,21.43435
307.00,21.50816
308.00,21.70007
309.00,21.77915
310.00,21.82768
311.00,21.83528
312.00,21.86722
313.00,21.82141
314.00,21.69882
315.00,21.59902
316.00,21.41117
317.00,21.18861
318.00,21.04604
319.00,20.83630
320.00,20.61004
321.00,20.42528
322.00,20.26992
323.00,20.12627
324.00,19.99305
325.00,19.86524
326.00,19.84897
327.00,19.79347
328.00,19.84103
329.00,19.85778
330.00,19.89705
331.00,19.95465
332.00,20.02149
333.00,20.14188
334.00,20.20295
335.00,20.32855
336.00,20.43430
337.00,20.51098
338.00,20.61602
339.00,20.67592
340.00,20.66202
341.00,20.74074
342.00,20.75338
343.00,20.77342
344.00,20.73498
345.00,20.68099
346.00,20.59668
347.00,20.47722
348.00,20.38515
349.00,20.26242
350.00,20.08454
351.00,19.98128
352.00,19.83261
353.00,19.70599
354.00,19.57138
355.00,19.41158
356.00,19.30238
357.00,19.17109
358.00,19.05936
359.00,18.95898
360.00,18.88171
361.00,18.81965
362.00,18.74533
363.00,18.70510
364.00,18.66615
365.00,18.68923
366.00,18.67362
367.00,18.67449
368.00,18.74842
369.00,18.76666
370.00,18.83725
371.00,18.86115
372.00,18.94991
373.00,19.00860
374.00,19.08311
375.00,19.12391
376.00,19.20755
377.00,19.22768
378.00,19.26843
379.00,19.32974
380.00,19.36397
381.00,19.40365
382.00,19.42835
383.00,19.42325
384.00,19.41223
385.00,19.39189
386.00,19.37975
387.00,19.33123
388.00,19.30545
389.00,19.24031
390.00,19.15735
391.00,19.10637
392.00,19.00815
393.00,18.92701
394.00,18.81454
395.00,18.74765
396.00,18.64357
397.00,18.52236
398.00,18.43246
399.00,18.33045
400.00,18.23854
401.00,18.15691
402.00,18.03787
403.00,17.98794
404.00,17.89061
405.00,17.80927
406.00,17.74515
407.00,17.68207
408.00,17.61249
409.00,17.59410
410.00,17.54896
411.00,17.49334
412.00,17.47338
413.00,17.43710
414.00,17.42539
415.00,17.42375
416.00,17.42173
417.00,17.42329
418.00,17.43440
419.00,17.45772
420.00,17.46662
421.00,17.49338
422.00,17.51860
423.00,17.55283
424.00,17.58016
425.00,17.62325
426.00,17.65021
427.00,17.69218
428.00,17.73082
429.00,17.77042
430.00,17.78281
431.00,17.83647
432.00,17.86661
433.00,17.88102
434.00,17.91149
435.00,17.92644
436.00,17.93825
437.00,17.93521
438.00,17.96618
439.00,17.96693
440.00,17.95885
441.00,17.95282
442.00,17.93618
443.00,17.91584
444.00,17.90380
445.00,17.86039
446.00,17.82051
447.00,17.77901
448.00,17.74267
449.00,17.69262
450.00,17.64242
451.00,17.58676
452.00,17.53525
453.00,17.47266
454.00,17.40405
455.00,17.33877
456.00,17.27493
457.00,17.21979
458.00,17.15169
459.00,17.07108
460.00,16.99627
461.00,16.93736
462.00,16.87940
463.00,16.81077
464.00,16.75207
465.00,16.68169
466.00,16.63034
467.00,16.56732
468.00,16.51257
469.00,16.46270
470.00,16.40852
471.00,16.36021
472.00,16.31943
