"SpecRefSubTrain - RawData"
"Wavelength nm.","R%"
190.00,23.83625
191.00,21.11689
192.00,20.74117
193.00,19.61513
194.00,21.39812
195.00,21.46486
196.00,19.19787
197.00,19.41317
198.00,19.25921
199.00,19.96454
200.00,18.13304
201.00,20.27093
202.00,22.11159
203.00,19.45940
204.00,19.49077
205.00,22.08872
206.00,22.26288
207.00,19.87684
208.00,20.96583
209.00,21.82872
210.00,22.20954
211.00,21.66219
212.00,21.83408
213.00,21.64555
214.00,21.51013
215.00,21.62799
216.00,21.17845
217.00,21.68618
218.00,21.50621
219.00,21.49830
220.00,21.50868
221.00,21.33855
222.00,20.76536
223.00,20.91437
224.00,21.10056
225.00,21.27534
226.00,21.12831
227.00,21.05530
228.00,21.15356
229.00,21.52308
230.00,21.41394
231.00,21.50016
232.00,21.54497
233.00,21.49961
234.00,21.74763
235.00,21.54107
236.00,21.76421
237.00,21.73506
238.00,21.93578
239.00,21.99150
240.00,22.06000
241.00,22.18035
242.00,22.10529
243.00,22.48884
244.00,22.51247
245.00,22.98798
246.00,23.04256
247.00,22.81682
248.00,23.03913
249.00,23.03524
250.00,23.14000
251.00,23.28655
252.00,23.26484
253.00,23.36855
254.00,23.41909
255.00,23.51926
256.00,23.72000
257.00,23.51001
258.00,23.27773
259.00,23.44384
260.00,23.50763
261.00,23.56220
262.00,23.47277
263.00,23.36851
264.00,23.64157
265.00,23.39820
266.00,23.26145
267.00,23.34189
268.00,23.45677
269.00,23.57536
270.00,23.39057
271.00,23.38651
272.00,23.47897
273.00,23.33453
274.00,23.18414
275.00,23.14899
276.00,23.42906
277.00,23.25844
278.00,23.27508
279.00,23.36959
280.00,23.52076
281.00,23.15326
282.00,23.44030
283.00,22.96640
284.00,23.50754
285.00,23.47961
286.00,23.47321
287.00,23.66816
288.00,23.37108
289.00,23.60665
290.00,23.45038
291.00,23.65972
292.00,23.70158
293.00,23.45478
294.00,23.71277
295.00,23.86636
296.00,24.06651
297.00,23.72815
298.00,23.95243
299.00,23.93497
300.00,23.67484
301.00,23.89702
302.00,23.71411
303.00,23.76043
304.00,23.73237
305.00,23.75698
306.00,23.71449
307.00,23.72048
308.00,23.73256
309.00,23.76284
310.00,23.96757
311.00,23.55766
312.00,23.50652
313.00,23.76586
314.00,23.72723
315.00,23.90386
316.00,23.70080
317.00,23.89876
318.00,23.64859
319.00,23.35480
320.00,23.37835
321.00,23.76764
322.00,23.53352
323.00,23.73900
324.00,23.42893
325.00,23.70186
326.00,23.34037
327.00,23.79482
328.00,23.44503
329.00,23.40419
330.00,23.51051
331.00,23.49004
332.00,23.33637
333.00,23.54628
334.00,23.43010
335.00,23.50492
336.00,23.38191
337.00,23.40223
338.00,23.57647
339.00,23.36107
340.00,23.47642
341.00,23.59804
342.00,23.33014
343.00,23.62904
344.00,23.61741
345.00,23.56716
346.00,23.32359
347.00,23.43121
348.00,23.32341
349.00,23.17215
350.00,23.30185
351.00,23.18505
352.00,23.36386
353.00,23.38210
354.00,23.02615
355.00,23.21789
356.00,23.40946
357.00,23.15847
358.00,23.33709
359.00,23.19036
360.00,23.25177
361.00,23.28435
362.00,23.12662
363.00,23.19849
364.00,23.14646
365.00,23.16929
366.00,23.04086
367.00,23.13482
368.00,23.23482
369.00,22.89041
370.00,23.15645
371.00,23.03661
372.00,23.36411
373.00,23.12471
374.00,23.13762
375.00,23.12173
376.00,23.13863
377.00,23.06150
378.00,22.98706
379.00,23.00507
380.00,22.92689
381.00,23.13024
382.00,23.03914
383.00,23.06076
384.00,22.94925
385.00,22.95155
386.00,22.90526
387.00,22.85131
388.00,22.83846
389.00,22.91636
390.00,22.93300
391.00,22.92151
392.00,22.83704
393.00,22.67150
394.00,22.69786
395.00,22.81808
396.00,22.63615
397.00,22.77651
398.00,22.86305
399.00,22.75449
400.00,22.73158
401.00,22.83730
402.00,22.67844
403.00,22.75563
404.00,22.59815
405.00,22.61569
406.00,22.74431
407.00,22.64294
408.00,22.67090
409.00,22.60808
410.00,22.57038
411.00,22.54511
412.00,22.70060
413.00,22.60956
414.00,22.52513
415.00,22.50824
416.00,22.53163
417.00,22.51502
418.00,22.38249
419.00,22.43513
420.00,22.54110
421.00,22.51163
422.00,22.51328
423.00,22.40214
424.00,22.40357
425.00,22.33887
426.00,22.43928
427.00,22.32338
428.00,22.24577
429.00,22.40955
430.00,22.33168
431.00,22.46620
432.00,22.22717
433.00,22.33101
434.00,22.19010
435.00,22.31822
436.00,22.26583
437.00,22.29660
438.00,22.22907
439.00,22.27347
440.00,22.14321
441.00,22.23447
442.00,22.18820
443.00,22.19998
444.00,22.07717
445.00,22.16804
446.00,22.19686
447.00,22.11469
448.00,22.07192
449.00,22.07929
450.00,22.15898
451.00,22.06277
452.00,22.13277
453.00,21.97960
454.00,22.02624
455.00,22.02967
456.00,21.94856
457.00,22.00172
458.00,22.05319
459.00,21.93995
460.00,21.90341
461.00,21.92945
462.00,21.94545
463.00,21.92433
464.00,21.89700
465.00,21.86031
466.00,21.83662
467.00,21.86338
468.00,21.83781
469.00,21.81766
470.00,21.81589
471.00,21.76495
472.00,21.72536
473.00,21.82787
474.00,21.76698
475.00,21.72187
476.00,21.73728
477.00,21.73228
478.00,21.73836
479.00,21.60867
480.00,21.66023
481.00,21.71249
482.00,21.64331
483.00,21.67144
484.00,21.62558
485.00,21.54419
486.00,21.56690
487.00,21.54736
488.00,21.49235
489.00,21.56668
490.00,21.60787
491.00,21.53476
492.00,21.50979
493.00,21.51050
494.00,21.45169
495.00,21.46974
496.00,21.50861
497.00,21.42641
498.00,21.48471
499.00,21.46545
500.00,21.37104
501.00,21.43525
502.00,21.40017
503.00,21.36863
504.00,21.38476
505.00,21.36987
506.00,21.39303
507.00,21.34826
508.00,21.34489
509.00,21.31733
510.00,21.33323
511.00,21.34100
512.00,21.28798
513.00,21.23066
514.00,21.15959
515.00,21.24508
516.00,21.20757
517.00,21.27177
518.00,21.17328
519.00,21.16784
520.00,21.17971
521.00,21.19216
522.00,21.18548
523.00,21.10965
524.00,21.13929
525.00,21.12070
526.00,21.15483
527.00,21.07965
528.00,21.10691
529.00,21.02813
530.00,20.94885
531.00,21.06409
532.00,21.05959
533.00,21.06439
534.00,20.94820
535.00,20.99677
536.00,20.93035
537.00,20.98086
538.00,21.00492
539.00,21.01322
540.00,20.94436
541.00,20.98337
542.00,20.95496
543.00,20.95613
544.00,20.85259
545.00,20.89301
546.00,20.90764
547.00,20.90399
548.00,20.90917
549.00,20.84855
550.00,20.84261
551.00,20.83065
552.00,20.75966
553.00,20.83530
554.00,20.79786
555.00,20.81051
556.00,20.88772
557.00,20.71020
558.00,20.74154
559.00,20.71910
560.00,20.81843
561.00,20.75791
562.00,20.72062
563.00,20.68377
564.00,20.69563
565.00,20.63508
566.00,20.62107
567.00,20.70577
568.00,20.66334
569.00,20.65252
570.00,20.55894
571.00,20.53174
572.00,20.62162
573.00,20.56302
574.00,20.55089
575.00,20.56447
576.00,20.50014
577.00,20.48309
578.00,20.57276
579.00,20.49172
580.00,20.43443
581.00,20.49302
582.00,20.46773
583.00,20.49136
584.00,20.43833
585.00,20.49333
586.00,20.49268
587.00,20.40587
588.00,20.41097
589.00,20.40434
590.00,20.37829
591.00,20.36211
592.00,20.35295
593.00,20.37382
594.00,20.31517
595.00,20.27608
596.00,20.33024
