"TrainingExcersice1 - RawData"
"Wavelength nm.","T%"
190.00,2.21003
191.00,0.36471
192.00,1.43739
193.00,1.24156
194.00,0.92399
195.00,1.21904
196.00,0.58645
197.00,0.46088
198.00,0.78004
199.00,0.26739
200.00,0.38588
201.00,0.37964
202.00,-0.02826
203.00,0.03944
204.00,0.21013
205.00,-0.16871
206.00,0.31113
207.00,0.28393
208.00,0.08113
209.00,0.30246
210.00,0.00237
211.00,0.18441
212.00,0.11864
213.00,0.08810
214.00,0.08838
215.00,0.17663
216.00,-0.00068
217.00,0.05699
218.00,0.15448
219.00,0.11229
220.00,0.02263
221.00,0.05950
222.00,0.09098
223.00,0.14817
224.00,0.08857
225.00,0.10308
226.00,0.12734
227.00,0.05148
228.00,0.17081
229.00,0.11516
230.00,0.16411
231.00,0.19955
232.00,0.20487
233.00,0.28022
234.00,0.26443
235.00,0.35504
236.00,0.33463
237.00,0.46423
238.00,0.57658
239.00,0.68219
240.00,0.74301
241.00,1.00460
242.00,1.29366
243.00,1.61557
244.00,2.02796
245.00,2.54878
246.00,3.13623
247.00,3.84869
248.00,4.69171
249.00,5.83683
250.00,7.17200
251.00,8.65709
252.00,10.53134
253.00,12.92731
254.00,15.46571
255.00,18.71454
256.00,22.18124
257.00,25.60506
258.00,29.24244
259.00,32.53747
260.00,35.03412
261.00,37.93155
262.00,40.36743
263.00,42.06562
264.00,43.28271
265.00,45.50791
266.00,46.27822
267.00,48.24409
268.00,49.64268
269.00,50.66057
270.00,51.55701
271.00,51.62452
272.00,52.27672
273.00,53.03338
274.00,53.16137
275.00,53.03109
276.00,52.41671
277.00,53.30319
278.00,52.32316
279.00,52.91609
280.00,52.88824
281.00,53.42144
282.00,54.10123
283.00,54.17312
284.00,54.32643
285.00,54.67741
286.00,55.16312
287.00,55.79993
288.00,55.27293
289.00,56.33053
290.00,56.84745
291.00,56.67014
292.00,56.99506
293.00,57.12694
294.00,56.89169
295.00,57.15995
296.00,56.82445
297.00,56.48916
298.00,56.41702
299.00,56.08821
300.00,56.27856
301.00,56.03372
302.00,56.16933
303.00,56.11154
304.00,55.86054
305.00,56.20430
306.00,56.64935
307.00,56.53889
308.00,56.87642
309.00,57.72729
310.00,57.59169
311.00,58.34393
312.00,57.93772
313.00,58.06609
314.00,58.45939
315.00,59.01374
316.00,59.37392
317.00,58.07426
318.00,59.34974
319.00,58.69354
320.00,58.71744
321.00,58.52072
322.00,58.87447
323.00,58.22721
324.00,57.91031
325.00,58.01178
326.00,57.42627
327.00,57.69570
328.00,57.46740
329.00,57.51547
330.00,57.34643
331.00,56.65537
332.00,57.01929
333.00,57.56850
334.00,57.48250
335.00,57.35180
336.00,58.03018
337.00,57.35572
338.00,58.15043
339.00,58.18098
340.00,58.91935
341.00,58.24082
342.00,59.13519
343.00,58.70375
344.00,58.88570
345.00,59.44458
346.00,59.87586
347.00,59.79141
348.00,59.90461
349.00,59.67789
350.00,60.07576
351.00,60.29012
352.00,60.00299
353.00,59.51730
354.00,59.81843
355.00,59.57807
356.00,59.43605
357.00,59.62411
358.00,59.20913
359.00,59.70877
360.00,59.25622
361.00,59.20135
362.00,58.89570
363.00,58.44375
364.00,58.68413
365.00,58.36844
366.00,58.59216
367.00,58.63479
