"ItalySlowCustom13_2 - RawData"
"Wavelength nm.","T%"
200.00,0.35457
201.00,0.37636
202.00,0.41439
203.00,0.39236
204.00,0.25632
205.00,0.36112
206.00,0.36679
207.00,0.35395
208.00,0.29994
209.00,0.25800
210.00,0.34192
211.00,0.26180
212.00,0.24695
213.00,0.29707
214.00,0.18946
215.00,0.23265
216.00,0.23839
217.00,0.24544
218.00,0.30699
219.00,0.24951
220.00,0.18989
221.00,0.23638
222.00,0.22849
223.00,0.25101
224.00,0.26960
225.00,0.22133
226.00,0.30850
227.00,0.26343
228.00,0.29985
229.00,0.29051
230.00,0.26784
231.00,0.28188
232.00,0.32034
233.00,0.31592
234.00,0.33798
235.00,0.36406
236.00,0.39726
237.00,0.41627
238.00,0.48200
239.00,0.53376
240.00,0.64619
241.00,0.74213
242.00,0.91137
243.00,1.11440
244.00,1.36792
245.00,1.65057
246.00,2.05769
247.00,2.59188
248.00,3.19810
249.00,3.98237
250.00,4.88036
251.00,6.05802
252.00,7.29679
253.00,8.86121
254.00,10.57612
255.00,12.33878
256.00,14.39930
257.00,16.28224
258.00,18.46880
259.00,20.70422
260.00,22.88204
261.00,25.20714
262.00,27.66584
263.00,30.16740
264.00,32.40086
265.00,34.39128
266.00,36.64631
267.00,38.04065
268.00,39.50399
269.00,40.67338
270.00,41.43572
271.00,42.15492
272.00,43.02233
273.00,43.50241
274.00,43.93882
275.00,45.16129
276.00,45.61824
277.00,46.50467
278.00,47.65872
279.00,48.39068
280.00,49.59649
281.00,50.77488
282.00,51.26009
283.00,51.82634
284.00,52.73604
285.00,52.72924
286.00,53.36640
287.00,53.55610
288.00,53.69596
289.00,53.76427
290.00,53.31126
291.00,53.22620
292.00,53.11953
293.00,52.29279
294.00,52.57794
295.00,52.13276
296.00,52.14829
297.00,52.31639
298.00,52.07314
299.00,52.14892
300.00,52.65496
301.00,52.47489
302.00,53.10588
303.00,53.25360
304.00,53.81874
305.00,54.38826
306.00,54.69260
307.00,55.03803
308.00,55.21111
309.00,55.84059
310.00,56.39051
311.00,56.25795
312.00,56.75524
313.00,56.69964
314.00,56.95113
315.00,56.62090
316.00,56.85378
317.00,56.32299
318.00,55.92527
319.00,56.26343
320.00,56.03849
321.00,55.49920
322.00,55.34167
323.00,55.04836
324.00,54.72446
325.00,54.97862
326.00,54.34860
327.00,54.78323
328.00,54.32618
329.00,54.43916
330.00,54.30819
331.00,54.45658
332.00,54.60278
333.00,54.58438
334.00,54.73765
335.00,54.93290
336.00,55.43808
337.00,55.57752
338.00,56.05169
339.00,56.29653
340.00,56.70136
341.00,56.97331
342.00,57.21363
343.00,57.90793
344.00,58.02069
345.00,58.43861
346.00,58.94996
347.00,59.04812
348.00,59.18250
349.00,59.33398
350.00,59.43692
351.00,59.26554
352.00,59.23778
353.00,59.36218
354.00,59.17512
355.00,59.30451
356.00,58.98985
357.00,59.05145
358.00,58.66258
359.00,58.35447
360.00,58.40483
361.00,57.90631
362.00,57.59066
363.00,57.54504
364.00,57.35348
365.00,57.17877
366.00,57.03402
367.00,56.82075
368.00,56.87122
369.00,56.62891
370.00,56.60985
371.00,56.32257
372.00,56.63238
373.00,56.34421
374.00,56.38606
375.00,56.50206
376.00,56.57234
377.00,56.38177
378.00,56.60659
379.00,56.80953
380.00,56.78529
381.00,57.19671
382.00,57.29718
383.00,57.36800
384.00,57.64783
385.00,57.86213
386.00,58.11130
387.00,58.32494
388.00,58.70480
389.00,58.83464
390.00,59.05132
391.00,59.28155
392.00,59.49250
393.00,59.68618
394.00,59.82653
395.00,60.15499
396.00,60.39039
397.00,60.49301
398.00,60.60690
399.00,60.65161
400.00,60.81479
401.00,60.80647
402.00,61.01523
403.00,60.95012
404.00,61.00961
405.00,60.94119
406.00,60.97738
407.00,61.04758
408.00,60.84989
409.00,60.75451
410.00,60.60067
411.00,60.63179
412.00,60.34424
413.00,60.25957
414.00,60.12499
415.00,60.15843
416.00,60.17248
417.00,60.01446
418.00,60.01793
419.00,59.87665
420.00,59.78947
421.00,59.68218
422.00,59.55704
423.00,59.74718
424.00,59.61049
425.00,59.61098
426.00,59.47050
427.00,59.44727
428.00,59.55399
429.00,59.45028
430.00,59.37114
431.00,59.44914
432.00,59.36019
433.00,59.34814
434.00,59.45273
435.00,59.45655
436.00,59.56419
437.00,59.49309
438.00,59.48850
439.00,59.68990
440.00,59.70665
441.00,59.87166
442.00,59.97722
443.00,59.94472
444.00,60.15716
445.00,60.35401
446.00,60.50323
447.00,60.51044
448.00,60.65574
449.00,60.91789
450.00,61.02228
451.00,61.23986
452.00,61.23949
453.00,61.64164
454.00,61.71741
455.00,61.85237
456.00,62.14912
457.00,62.27095
458.00,62.33506
459.00,62.61777
460.00,62.78368
461.00,62.94208
462.00,63.10037
463.00,63.31217
464.00,63.42349
465.00,63.33951
466.00,63.51317
467.00,63.76699
468.00,63.84814
469.00,63.99292
470.00,63.92066
471.00,64.05293
472.00,64.07148
473.00,64.12470
474.00,64.22067
475.00,64.23345
476.00,64.26491
477.00,64.25553
478.00,64.30690
479.00,64.31429
480.00,64.20712
481.00,64.18909
482.00,64.16618
483.00,64.18689
484.00,64.16770
485.00,63.94801
486.00,63.94581
487.00,64.01187
488.00,63.80075
489.00,63.71630
490.00,63.56177
491.00,63.50822
492.00,63.38152
493.00,63.48851
494.00,63.10742
495.00,63.08515
496.00,62.90606
497.00,62.89939
498.00,62.78034
499.00,62.69583
500.00,62.61818
501.00,62.45108
502.00,62.26160
503.00,62.21463
504.00,62.08172
505.00,61.89189
506.00,61.85146
507.00,61.70835
508.00,61.60769
509.00,61.47336
510.00,61.44029
511.00,61.35293
512.00,61.25868
513.00,61.16619
514.00,61.00582
515.00,61.05659
516.00,61.01496
517.00,60.83165
518.00,60.83171
519.00,60.80481
520.00,60.79506
