ItalySlowCustom13_5-RawData
Wavelength nm.,T%
200,0.46896
201,0.37678
202,0.43179
203,0.48937
204,0.30235
205,0.29159
206,0.33252
207,0.27256
208,0.34782
209,0.24054
210,0.27997
211,0.2792
212,0.24576
213,0.18602
214,0.25546
215,0.2446
216,0.21104
217,0.22949
218,0.26092
219,0.22738
220,0.27486
221,0.26032
222,0.21141
223,0.27931
224,0.24673
225,0.27786
226,0.25571
227,0.27333
228,0.26577
229,0.25367
230,0.24193
231,0.23107
232,0.2394
233,0.25378
234,0.25051
235,0.25828
236,0.29584
237,0.25787
238,0.32004
239,0.35899
240,0.40151
241,0.47281
242,0.52787
243,0.68958
244,0.8244
245,1.06779
246,1.40702
247,1.80146
248,2.35644
249,2.95695
250,3.80361
251,4.90887
252,6.26134
253,7.80318
254,9.6832
255,11.67908
256,14.02148
257,16.49056
258,19.15116
259,21.61893
260,24.516
261,27.35607
262,30.32961
263,32.86091
264,35.53509
265,38.15195
266,40.39867
267,42.5201
268,44.36938
269,46.40173
270,47.98661
271,49.41727
272,50.60733
273,51.48549
274,52.59801
275,53.73203
276,54.60188
277,55.3024
278,56.68672
279,56.82586
280,57.38241
281,58.34714
282,58.73917
283,58.62395
284,59.29302
285,59.79562
286,59.71915
287,60.2106
288,60.30008
289,60.2454
290,60.12973
291,60.4616
292,60.62642
293,60.55397
294,60.8595
295,61.0463
296,61.57087
297,61.73791
298,61.84616
299,62.33947
300,62.77833
301,62.69081
302,62.87576
303,63.07351
304,63.26927
305,63.3695
306,63.54933
307,63.51367
308,63.14387
309,63.31743
310,63.45771
311,63.06522
312,63.08628
313,63.24707
314,63.1052
315,63.01604
316,62.87531
317,62.34943
318,62.89715
319,62.8854
320,63.05315
321,63.14269
322,63.58216
323,63.65602
324,63.5555
325,64.1485
326,63.87267
327,64.60628
328,64.32827
329,64.8499
330,64.98196
331,65.29361
332,65.1199
333,65.1685
334,65.36993
335,65.25624
336,65.36525
337,65.32776
338,65.42495
339,64.84529
340,65.19264
341,64.95391
342,64.69144
343,64.89731
344,64.60335
345,64.55305
346,64.35205
347,64.47841
348,64.32232
349,64.26095
350,64.08209
351,64.30476
352,64.2222
353,64.77218
354,64.53999
355,64.57217
356,64.93692
357,65.25456
