"Sam7VSlowTrans - RawData"
"Wavelength nm.","T%"
190.00,1.94320
191.00,1.27257
192.00,0.76530
193.00,0.61005
194.00,0.44331
195.00,0.36409
196.00,0.35869
197.00,0.22158
198.00,0.31778
199.00,0.30719
200.00,0.24018
201.00,0.25548
202.00,0.22439
203.00,0.15733
204.00,0.16522
205.00,0.20086
206.00,0.14361
207.00,0.16498
208.00,0.11686
209.00,0.14532
210.00,0.15447
211.00,0.10901
212.00,0.12376
213.00,0.14293
214.00,0.09928
215.00,0.10736
216.00,0.11521
217.00,0.11727
218.00,0.12755
219.00,0.13486
220.00,0.10925
221.00,0.12696
222.00,0.13542
223.00,0.13855
224.00,0.13881
225.00,0.14604
226.00,0.15666
227.00,0.18998
228.00,0.20454
229.00,0.25294
230.00,0.29505
231.00,0.39293
232.00,0.47528
233.00,0.60740
234.00,0.78225
235.00,0.97626
236.00,1.19403
237.00,1.43890
238.00,1.74784
239.00,2.05746
240.00,2.38318
241.00,2.80454
242.00,3.26500
243.00,3.81144
244.00,4.38681
245.00,5.08674
246.00,5.85288
247.00,6.72713
248.00,7.69555
249.00,8.94711
250.00,10.31850
251.00,12.05139
252.00,13.99615
253.00,16.37739
254.00,18.98368
255.00,21.92790
256.00,25.03854
257.00,28.34155
258.00,31.54722
259.00,34.68204
260.00,37.75942
261.00,40.53912
262.00,43.04042
263.00,45.18670
264.00,47.01124
265.00,48.37928
266.00,49.35166
267.00,50.02957
268.00,50.38632
269.00,50.60713
270.00,50.66115
271.00,50.69430
272.00,50.76222
273.00,50.81954
274.00,50.97923
275.00,51.36839
276.00,51.76265
277.00,52.09705
278.00,52.77327
279.00,53.17284
280.00,53.64481
281.00,54.20665
282.00,54.74470
283.00,54.96640
284.00,55.10778
285.00,55.42461
286.00,55.47007
287.00,55.37984
288.00,55.41782
289.00,55.25655
290.00,55.26083
291.00,54.93299
292.00,54.87505
293.00,54.66827
294.00,54.59063
295.00,54.60846
296.00,54.54657
297.00,54.53873
298.00,54.62234
299.00,54.85240
300.00,55.19108
301.00,55.38123
302.00,55.60532
303.00,55.95032
304.00,56.25179
305.00,56.63237
306.00,56.93151
307.00,57.23066
308.00,57.42732
309.00,57.57508
310.00,57.84124
311.00,58.00548
312.00,58.15425
313.00,58.12637
314.00,58.03676
315.00,58.00546
316.00,57.93629
317.00,57.80953
318.00,57.58295
319.00,57.48014
320.00,57.29030
321.00,57.06206
322.00,56.85558
323.00,56.69457
324.00,56.81064
325.00,56.55546
326.00,56.53442
327.00,56.42186
328.00,56.42123
329.00,56.30218
330.00,56.31677
331.00,56.25055
332.00,56.59631
333.00,56.57632
334.00,56.82328
335.00,56.88279
336.00,57.09595
337.00,57.33305
338.00,57.54707
339.00,57.82084
340.00,58.00037
341.00,58.31989
342.00,58.40595
343.00,58.70243
344.00,58.71210
345.00,58.96451
346.00,59.15997
347.00,59.22388
348.00,59.32025
349.00,59.39423
350.00,59.48089
351.00,59.52333
352.00,59.44430
353.00,59.41386
354.00,59.31574
355.00,59.14853
356.00,59.12523
357.00,59.01895
358.00,58.87563
359.00,58.69604
360.00,58.62672
361.00,58.42726
362.00,58.37753
363.00,58.31695
364.00,57.98049
365.00,57.94221
366.00,57.83110
367.00,57.69804
368.00,57.55740
369.00,57.50416
370.00,57.45354
371.00,57.56724
372.00,57.43701
373.00,57.41034
374.00,57.45495
375.00,57.53937
376.00,57.56239
377.00,57.61582
378.00,57.66352
379.00,57.81092
380.00,57.92893
381.00,58.03558
382.00,58.12275
383.00,58.29715
384.00,58.47123
385.00,58.66167
386.00,58.75418
387.00,58.97849
388.00,59.09559
389.00,59.27006
390.00,59.37827
391.00,59.53938
392.00,59.73848
393.00,59.87528
394.00,59.97521
395.00,60.13479
396.00,60.14566
397.00,60.27213
398.00,60.33995
399.00,60.37083
400.00,60.40490
401.00,60.45466
402.00,60.51117
403.00,60.43512
404.00,60.43601
405.00,60.43546
406.00,60.43968
407.00,60.39860
408.00,60.35008
409.00,60.26958
410.00,60.20023
411.00,60.11220
412.00,60.02170
413.00,59.93531
414.00,59.80728
415.00,59.68431
416.00,59.62157
417.00,59.51371
418.00,59.38241
419.00,59.31087
420.00,59.19193
421.00,59.10180
422.00,59.00937
423.00,58.91173
424.00,58.83248
425.00,58.73037
426.00,58.69626
427.00,58.63025
428.00,58.60982
429.00,58.51825
430.00,58.47486
431.00,58.47179
432.00,58.46045
433.00,58.45205
434.00,58.43634
435.00,58.47973
436.00,58.47935
437.00,58.49787
438.00,58.55247
439.00,58.59850
440.00,58.66004
441.00,58.71329
442.00,58.75418
443.00,58.86145
444.00,58.91470
445.00,59.03079
446.00,59.10094
447.00,59.22272
448.00,59.29555
449.00,59.41619
450.00,59.51210
451.00,59.57265
452.00,59.73001
453.00,59.84218
454.00,59.95136
455.00,60.05137
456.00,60.18099
457.00,60.28156
458.00,60.43698
459.00,60.53672
460.00,60.64190
461.00,60.74808
462.00,60.86192
463.00,60.94989
464.00,61.04276
465.00,61.13073
466.00,61.19668
467.00,61.28724
468.00,61.32399
469.00,61.40406
470.00,61.45847
471.00,61.48405
472.00,61.57406
473.00,61.57506
474.00,61.54734
475.00,61.61018
476.00,61.62138
477.00,61.64190
478.00,61.64989
479.00,61.66461
480.00,61.63309
481.00,61.60071
482.00,61.59117
483.00,61.56972
484.00,61.49853
485.00,61.47427
486.00,61.45489
487.00,61.38586
488.00,61.33522
489.00,61.30010
490.00,61.24860
491.00,61.19988
492.00,61.11962
493.00,61.05327
494.00,61.00909
495.00,60.92399
496.00,60.89517
497.00,60.79059
498.00,60.76956
499.00,60.63675
500.00,60.58307
501.00,60.54337
502.00,60.45596
503.00,60.37811
504.00,60.29897
505.00,60.26484
