"GSW2 AlGaO x15 slow - RawData"
"Wavelength nm.","T%"
190.00,3.28426
191.00,2.56463
192.00,1.71777
193.00,1.12048
194.00,1.45299
195.00,0.56293
196.00,0.73367
197.00,1.19368
198.00,0.87518
199.00,0.61085
200.00,0.40538
201.00,0.65063
202.00,0.66400
203.00,0.53520
204.00,0.58927
205.00,0.52840
206.00,0.50245
207.00,0.53613
208.00,0.42685
209.00,0.46235
210.00,0.43620
211.00,0.48387
212.00,0.47267
213.00,0.45355
214.00,0.44333
215.00,0.55236
216.00,0.58312
217.00,0.55462
218.00,0.64010
219.00,0.73525
220.00,0.84785
221.00,0.85023
222.00,1.04110
223.00,1.20400
224.00,1.35013
225.00,1.52560
226.00,1.84642
227.00,2.10527
228.00,2.49394
229.00,2.86156
230.00,3.34021
231.00,3.92060
232.00,4.53303
233.00,5.37511
234.00,6.27869
235.00,7.29068
236.00,8.52981
237.00,9.74513
238.00,11.46169
239.00,13.12743
240.00,15.07026
241.00,17.03489
242.00,19.41091
243.00,21.95670
244.00,24.42788
245.00,27.04999
246.00,29.65106
247.00,32.31350
248.00,35.01628
249.00,37.60007
250.00,39.87758
251.00,42.38239
252.00,44.28459
253.00,46.05232
254.00,47.54568
255.00,48.96896
256.00,50.41065
257.00,51.62146
258.00,52.55758
259.00,53.09302
260.00,54.07774
261.00,54.75453
262.00,55.19813
263.00,55.58228
264.00,55.94206
265.00,56.37107
266.00,56.56423
267.00,56.69234
268.00,57.00452
269.00,57.13423
270.00,57.63708
271.00,57.71695
272.00,57.90232
273.00,57.97083
274.00,58.01094
275.00,58.10791
276.00,58.19757
277.00,58.51597
278.00,58.75696
279.00,58.86750
280.00,58.88116
281.00,58.89576
282.00,58.94226
283.00,58.99563
284.00,59.31478
285.00,59.17165
286.00,59.49351
287.00,59.58802
288.00,59.99787
289.00,59.91204
290.00,59.95857
291.00,60.12200
292.00,60.10935
293.00,60.22146
294.00,60.00392
295.00,59.99953
296.00,60.10082
297.00,60.37964
298.00,60.47747
299.00,60.43664
300.00,60.35876
301.00,60.44780
302.00,60.67368
303.00,60.84720
304.00,60.47280
305.00,60.89533
306.00,60.62762
307.00,61.11755
308.00,61.00903
309.00,61.15427
310.00,61.16645
311.00,60.94544
312.00,61.33428
313.00,61.46054
314.00,61.37154
315.00,61.33395
316.00,60.95560
317.00,61.33364
318.00,61.10072
319.00,61.29661
320.00,61.41633
321.00,61.49002
322.00,61.43595
323.00,61.50556
324.00,61.37562
325.00,61.32897
326.00,61.27114
327.00,61.26038
328.00,61.40440
329.00,61.30010
330.00,61.31705
331.00,61.36922
332.00,61.44902
333.00,61.43619
334.00,61.55553
335.00,61.55550
336.00,61.50321
337.00,61.71497
338.00,61.58467
339.00,61.49439
340.00,61.91379
341.00,61.77873
342.00,61.75780
343.00,61.64635
344.00,61.76755
345.00,61.87013
346.00,61.77195
347.00,61.92009
348.00,61.75362
349.00,61.95866
350.00,61.91415
351.00,61.93841
352.00,61.97393
353.00,61.87992
354.00,61.91363
355.00,61.88107
356.00,61.99478
357.00,62.01652
358.00,62.06583
359.00,61.91330
360.00,62.16823
361.00,61.97781
362.00,61.98935
363.00,62.03775
364.00,61.99179
365.00,61.92974
366.00,61.91945
367.00,62.05845
368.00,61.92076
369.00,62.02075
370.00,61.98963
371.00,61.97393
372.00,62.00920
373.00,62.01072
374.00,62.06343
375.00,62.16042
376.00,62.02090
377.00,62.11628
378.00,62.12650
379.00,62.15965
380.00,62.22748
381.00,62.15714
382.00,62.28431
383.00,62.16090
384.00,62.34069
385.00,62.31501
386.00,62.30605
387.00,62.29386
388.00,62.41835
389.00,62.31899
390.00,62.60842
391.00,62.55881
392.00,62.57271
393.00,62.52464
394.00,62.61472
395.00,62.66075
396.00,62.63250
397.00,62.73127
398.00,62.74115
399.00,62.70450
400.00,62.81227
401.00,62.65896
402.00,62.81168
403.00,62.76920
404.00,62.79278
405.00,62.75393
406.00,62.91093
407.00,62.80379
408.00,62.80768
409.00,62.77736
410.00,62.83115
411.00,62.89829
412.00,62.79356
413.00,62.79181
414.00,62.89855
415.00,62.94101
416.00,62.81410
417.00,62.88761
418.00,62.76790
419.00,62.85304
420.00,62.83687
421.00,62.80615
422.00,62.78366
423.00,62.77137
424.00,62.80753
425.00,62.68078
426.00,62.79932
427.00,62.67819
428.00,62.82250
429.00,62.77318
430.00,62.72193
431.00,62.78455
432.00,62.84456
433.00,62.75551
434.00,62.70429
435.00,62.65817
436.00,62.73860
437.00,62.82001
438.00,62.81324
439.00,62.81720
440.00,62.80824
441.00,62.88782
442.00,62.89852
443.00,62.75613
444.00,62.90466
445.00,62.90076
446.00,62.90982
447.00,62.95180
448.00,63.01746
449.00,63.00229
450.00,63.03251
451.00,63.05709
452.00,63.06395
453.00,63.10997
454.00,63.13523
455.00,63.17487
456.00,63.18036
457.00,63.19686
458.00,63.25125
459.00,63.22496
460.00,63.30658
461.00,63.37050
462.00,63.44596
463.00,63.42605
464.00,63.45068
465.00,63.51502
466.00,63.50318
467.00,63.56623
468.00,63.58278
469.00,63.67450
470.00,63.68172
471.00,63.70531
472.00,63.70185
473.00,63.70104
474.00,63.71871
475.00,63.73661
476.00,63.72460
477.00,63.74496
478.00,63.72786
479.00,63.78356
480.00,63.73805
481.00,63.80519
482.00,63.80081
483.00,63.84969
484.00,63.82812
485.00,63.88440
486.00,63.80258
487.00,63.82906
488.00,63.84656
489.00,63.86278
490.00,63.81792
491.00,63.85847
492.00,63.86126
493.00,63.80904
494.00,63.79757
495.00,63.81190
496.00,63.79506
497.00,63.72362
498.00,63.72094
499.00,63.76708
500.00,63.73914
501.00,63.77148
502.00,63.72707
503.00,63.62259
504.00,63.64049
505.00,63.64791
506.00,63.67975
507.00,63.59904
508.00,63.61226
509.00,63.62577
510.00,63.55771
511.00,63.58087
512.00,63.61996
513.00,63.54650
514.00,63.65944
515.00,63.56783
516.00,63.59822
517.00,63.60804
518.00,63.51001
519.00,63.53684
520.00,63.54664
521.00,63.53593
522.00,63.55400
523.00,63.55932
524.00,63.57547
525.00,63.49800
526.00,63.54930
527.00,63.55069
528.00,63.54844
529.00,63.55140
530.00,63.48052
531.00,63.54530
532.00,63.54123
533.00,63.53382
534.00,63.62600
535.00,63.68570
536.00,63.65226
537.00,63.63083
538.00,63.61274
539.00,63.65910
540.00,63.71294
541.00,63.75356
542.00,63.71717
543.00,63.78334
544.00,63.78739
545.00,63.74857
546.00,63.83044
547.00,63.89690
548.00,63.89459
549.00,63.86518
550.00,63.87206
551.00,63.97170
552.00,64.04642
553.00,63.95801
554.00,64.06019
555.00,64.07449
556.00,64.13879
557.00,64.08694
558.00,64.21337
559.00,64.22073
560.00,64.30380
561.00,64.35043
562.00,64.28528
563.00,64.32648
564.00,64.40433
565.00,64.45833
566.00,64.43079
567.00,64.44989
568.00,64.47898
569.00,64.52044
570.00,64.63143
571.00,64.55948
572.00,64.59879
573.00,64.66702
574.00,64.65381
575.00,64.71470
576.00,64.72132
577.00,64.74611
578.00,64.79752
579.00,64.75835
580.00,64.85561
581.00,64.81289
582.00,64.87172
583.00,64.92942
584.00,64.91756
585.00,64.96778
586.00,64.99064
587.00,64.96641
588.00,65.02416
589.00,65.08566
590.00,65.06386
591.00,65.11287
592.00,65.06755
593.00,65.07913
594.00,65.15268
595.00,65.19110
596.00,65.18390
597.00,65.22965
598.00,65.22885
599.00,65.22320
600.00,65.12526
601.00,65.22551
602.00,65.24029
603.00,65.29159
604.00,65.25609
605.00,65.25960
606.00,65.28385
607.00,65.26814
608.00,65.29350
609.00,65.30185
610.00,65.30895
611.00,65.29348
612.00,65.26473
613.00,65.32393
614.00,65.36867
615.00,65.33358
616.00,65.21168
617.00,65.25271
618.00,65.33017
619.00,65.27777
620.00,65.26427
621.00,65.29737
622.00,65.17810
623.00,65.22220
624.00,65.17662
625.00,65.18438
626.00,65.13464
627.00,65.18114
628.00,65.23751
629.00,65.10676
630.00,65.21539
631.00,65.12167
632.00,65.15839
633.00,65.14748
634.00,65.09560
635.00,65.14960
636.00,65.14480
637.00,65.10679
638.00,65.20864
639.00,65.13599
640.00,65.05721
641.00,65.12862
642.00,65.08396
643.00,65.07000
644.00,65.03075
645.00,65.02922
646.00,65.09067
647.00,65.05740
648.00,65.00053
649.00,64.98633
650.00,64.86957
651.00,65.05964
652.00,64.96992
653.00,64.92757
654.00,64.98539
655.00,65.03947
656.00,64.99127
657.00,64.96056
658.00,64.94718
659.00,65.02773
660.00,65.03715
661.00,64.85072
662.00,65.08080
663.00,64.95273
664.00,64.97868
665.00,64.89971
666.00,64.94886
667.00,64.95435
668.00,65.00072
669.00,64.88923
670.00,64.94045
671.00,64.99088
672.00,64.94148
673.00,64.92774
674.00,65.00121
675.00,65.00400
676.00,65.08644
677.00,64.91997
678.00,64.98371
679.00,65.08926
680.00,65.02683
681.00,64.96992
682.00,65.06960
683.00,65.09023
684.00,65.12501
685.00,65.04310
686.00,65.08260
687.00,65.01422
688.00,65.12665
689.00,65.20632
690.00,65.15298
691.00,65.12762
692.00,65.17790
693.00,65.15004
694.00,65.17702
695.00,65.31079
696.00,65.31780
697.00,65.25331
698.00,65.25635
699.00,65.38415
700.00,65.36983
701.00,65.38509
702.00,65.29310
703.00,65.35575
704.00,65.44957
705.00,65.46714
706.00,65.61586
707.00,65.35013
708.00,65.60166
709.00,65.58517
710.00,65.56572
711.00,65.72987
712.00,65.85473
713.00,65.70683
714.00,65.77470
715.00,65.86532
716.00,65.83681
717.00,65.77533
718.00,65.79014
719.00,65.92947
720.00,65.74937
721.00,65.93918
722.00,66.12954
723.00,65.85560
724.00,65.98530
725.00,66.16616
726.00,66.04626
727.00,66.16948
728.00,66.08818
729.00,66.24842
730.00,66.10164
731.00,66.26329
732.00,66.17506
733.00,66.23879
734.00,66.06762
735.00,66.33526
736.00,66.42263
737.00,66.23275
738.00,66.32965
739.00,66.52636
740.00,66.34095
741.00,66.55245
742.00,66.66420
743.00,66.59774
744.00,66.68226
745.00,66.78776
746.00,66.45451
