"TransVSlowItaly - RawData"
"Wavelength nm.","T%"
190.00,1.89877
191.00,1.16274
192.00,0.69726
193.00,0.74080
194.00,0.67079
195.00,0.56255
196.00,0.38876
197.00,0.43322
198.00,0.33024
199.00,0.43894
200.00,0.38207
201.00,0.32841
202.00,0.36646
203.00,0.30449
204.00,0.30034
205.00,0.28154
206.00,0.28420
207.00,0.26229
208.00,0.24189
209.00,0.25371
210.00,0.24585
211.00,0.23723
212.00,0.22322
213.00,0.22095
214.00,0.21148
215.00,0.20788
216.00,0.21183
217.00,0.20699
218.00,0.22013
219.00,0.20741
220.00,0.21340
221.00,0.20739
222.00,0.20777
223.00,0.20688
224.00,0.20209
225.00,0.19388
226.00,0.20370
227.00,0.18467
228.00,0.19078
229.00,0.18208
230.00,0.18040
231.00,0.18029
232.00,0.17397
233.00,0.17444
234.00,0.16810
235.00,0.17442
236.00,0.16955
237.00,0.16461
238.00,0.18032
239.00,0.18200
240.00,0.20332
241.00,0.22596
242.00,0.25635
243.00,0.30388
244.00,0.37907
245.00,0.48665
246.00,0.62610
247.00,0.81947
248.00,1.09959
249.00,1.46407
250.00,1.96847
251.00,2.62474
252.00,3.42990
253.00,4.42622
254.00,5.64225
255.00,7.09217
256.00,8.75410
257.00,10.56795
258.00,12.58265
259.00,14.65019
260.00,16.85455
261.00,19.00372
262.00,21.38291
263.00,23.65647
264.00,25.85810
265.00,28.04146
266.00,30.05554
267.00,31.97736
268.00,33.76158
269.00,35.47937
270.00,37.16047
271.00,38.58896
272.00,40.16089
273.00,41.45089
274.00,42.71916
275.00,43.78748
276.00,44.70333
277.00,45.59709
278.00,46.45676
279.00,47.23617
280.00,47.70061
281.00,48.35705
282.00,48.88359
283.00,49.44016
284.00,49.88071
285.00,50.29219
286.00,50.72401
287.00,51.09615
288.00,51.50558
289.00,51.88524
290.00,52.09514
291.00,52.23864
292.00,52.43219
293.00,52.58353
294.00,52.68590
295.00,52.76150
296.00,52.97720
297.00,53.07608
298.00,53.27880
299.00,53.29240
300.00,53.40967
301.00,53.54709
302.00,53.61528
303.00,53.79359
304.00,53.74919
305.00,53.90807
306.00,53.97345
307.00,54.10073
308.00,54.12681
309.00,54.37967
310.00,54.41504
311.00,54.36882
312.00,54.51899
313.00,54.65106
314.00,54.60257
315.00,54.76771
316.00,54.80638
317.00,54.90989
318.00,54.85651
319.00,54.97203
320.00,55.08633
321.00,55.01162
322.00,55.09075
323.00,55.09282
324.00,54.94505
325.00,55.04954
326.00,55.14127
327.00,55.04641
328.00,55.04519
329.00,55.37207
330.00,55.32676
331.00,55.43805
332.00,55.43104
333.00,55.67252
334.00,55.63152
335.00,55.69150
336.00,55.73355
337.00,55.87503
338.00,55.88255
339.00,56.04878
340.00,55.98272
341.00,56.09182
342.00,56.30172
343.00,56.11063
344.00,56.28351
345.00,56.28569
346.00,56.34641
347.00,56.32999
348.00,56.38608
349.00,56.42628
350.00,56.31918
351.00,56.46501
352.00,56.33804
353.00,56.51037
354.00,56.46242
355.00,56.42686
356.00,56.45837
357.00,56.48942
358.00,56.49098
359.00,56.55123
360.00,56.57086
361.00,56.65935
362.00,56.65059
363.00,56.71486
364.00,56.87491
365.00,56.83460
366.00,56.98689
367.00,57.01127
368.00,57.01726
369.00,57.01181
370.00,57.15179
371.00,57.18623
372.00,57.33132
373.00,57.33856
374.00,57.34112
375.00,57.37329
376.00,57.48193
377.00,57.51505
378.00,57.50978
379.00,57.55607
380.00,57.57965
381.00,57.59511
382.00,57.56986
383.00,57.58626
384.00,57.59849
385.00,57.52185
386.00,57.55870
387.00,57.56810
388.00,57.45704
389.00,57.52279
390.00,57.51650
391.00,57.52909
392.00,57.50830
393.00,57.42751
394.00,57.52544
395.00,57.50260
396.00,57.55827
397.00,57.55904
398.00,57.56971
399.00,57.62308
400.00,57.64565
401.00,57.68111
402.00,57.74702
403.00,57.80269
404.00,57.80670
405.00,57.92369
406.00,57.97282
407.00,58.05627
408.00,58.06183
409.00,58.16944
410.00,58.22067
411.00,58.30308
412.00,58.36315
413.00,58.41095
414.00,58.50305
415.00,58.55238
416.00,58.61573
417.00,58.67825
418.00,58.75574
419.00,58.77601
420.00,58.83698
421.00,58.81014
422.00,58.85276
423.00,58.85726
424.00,58.87187
425.00,58.84894
426.00,58.85811
427.00,58.83319
428.00,58.83132
429.00,58.79923
430.00,58.78056
431.00,58.77309
432.00,58.73914
433.00,58.71463
434.00,58.69965
435.00,58.66780
436.00,58.65930
437.00,58.61505
438.00,58.60712
439.00,58.57287
440.00,58.54137
441.00,58.50219
442.00,58.51858
443.00,58.52477
444.00,58.53840
445.00,58.48904
446.00,58.47208
447.00,58.56897
448.00,58.56866
449.00,58.64132
450.00,58.63092
451.00,58.62984
452.00,58.67039
453.00,58.74910
454.00,58.80804
455.00,58.86241
456.00,58.92614
457.00,58.96401
458.00,59.05729
459.00,59.12107
460.00,59.19205
461.00,59.22861
462.00,59.35652
463.00,59.44784
464.00,59.52463
465.00,59.58284
466.00,59.63860
467.00,59.72914
468.00,59.74311
469.00,59.79803
470.00,59.84753
471.00,59.91012
472.00,60.00613
473.00,60.02650
474.00,60.03367
475.00,60.04534
476.00,60.09777
477.00,60.12250
478.00,60.11811
479.00,60.11940
480.00,60.08589
481.00,60.12169
482.00,60.08312
483.00,60.13880
484.00,60.12778
485.00,60.08148
486.00,60.03367
487.00,60.01408
488.00,60.00549
489.00,59.97195
490.00,59.94974
491.00,59.89981
492.00,59.87654
493.00,59.82557
494.00,59.78114
495.00,59.73565
496.00,59.69808
497.00,59.66203
498.00,59.64876
499.00,59.60980
500.00,59.60718
501.00,59.55233
502.00,59.52196
503.00,59.48390
504.00,59.46510
505.00,59.47227
506.00,59.43976
507.00,59.45331
508.00,59.44681
509.00,59.42076
510.00,59.43428
511.00,59.43463
512.00,59.45982
513.00,59.50482
514.00,59.50694
515.00,59.52517
516.00,59.59824
517.00,59.64622
518.00,59.65508
519.00,59.71566
520.00,59.75225
521.00,59.86774
522.00,59.83987
523.00,59.94290
524.00,59.97353
525.00,60.04140
526.00,60.10897
527.00,60.19257
528.00,60.22927
529.00,60.34524
530.00,60.42138
531.00,60.52154
532.00,60.61760
533.00,60.64931
534.00,60.74507
535.00,60.81631
536.00,60.88761
537.00,60.95921
538.00,61.04491
539.00,61.09447
540.00,61.16350
541.00,61.20071
542.00,61.30811
543.00,61.34803
544.00,61.37399
545.00,61.41679
546.00,61.49580
547.00,61.52712
548.00,61.57668
549.00,61.64119
550.00,61.65453
551.00,61.71474
552.00,61.69963
553.00,61.73963
554.00,61.71849
555.00,61.73797
556.00,61.76559
557.00,61.74518
558.00,61.74259
559.00,61.77257
560.00,61.74423
561.00,61.74007
562.00,61.70508
563.00,61.72818
564.00,61.69822
565.00,61.65465
566.00,61.64086
567.00,61.58954
568.00,61.56296
569.00,61.52925
570.00,61.46494
571.00,61.39906
572.00,61.35443
573.00,61.29646
574.00,61.22463
575.00,61.13797
576.00,61.11953
577.00,61.07122
578.00,60.98633
579.00,60.91276
580.00,60.85314
581.00,60.84840
582.00,60.77261
583.00,60.76202
584.00,60.73788
585.00,60.66973
586.00,60.65547
587.00,60.63124
588.00,60.63411
589.00,60.61627
590.00,60.58002
591.00,60.53213
592.00,60.51986
593.00,60.53019
594.00,60.53617
595.00,60.49923
596.00,60.50134
597.00,60.51987
598.00,60.52213
599.00,60.55772
600.00,60.55049
601.00,60.60906
602.00,60.59169
603.00,60.63610
604.00,60.64436
605.00,60.69462
606.00,60.70765
607.00,60.75174
608.00,60.79401
609.00,60.82528
610.00,60.88752
611.00,60.89715
612.00,60.94516
613.00,61.04560
614.00,61.06741
615.00,61.15538
616.00,61.19941
617.00,61.27760
618.00,61.33912
619.00,61.40432
620.00,61.44053
621.00,61.55808
622.00,61.64443
623.00,61.68920
624.00,61.74657
625.00,61.84379
626.00,61.90299
627.00,61.97515
628.00,62.05652
629.00,62.13706
630.00,62.22076
631.00,62.26981
632.00,62.29391
633.00,62.41500
634.00,62.50082
635.00,62.54553
636.00,62.66623
637.00,62.69349
638.00,62.74207
639.00,62.81553
640.00,62.88024
641.00,62.93222
642.00,62.99113
643.00,63.07001
644.00,63.12741
645.00,63.16243
646.00,63.26030
647.00,63.27917
648.00,63.34918
649.00,63.39989
650.00,63.43982
651.00,63.48721
652.00,63.50031
653.00,63.53469
654.00,63.56274
655.00,63.66236
656.00,63.64465
657.00,63.66379
658.00,63.70964
659.00,63.71780
660.00,63.71538
661.00,63.71900
662.00,63.80873
663.00,63.73609
664.00,63.79517
665.00,63.80987
666.00,63.82103
667.00,63.76411
668.00,63.77855
669.00,63.76522
670.00,63.72174
671.00,63.73478
672.00,63.73830
673.00,63.74424
674.00,63.68409
675.00,63.67727
676.00,63.64670
677.00,63.63417
678.00,63.61767
679.00,63.56981
680.00,63.60137
681.00,63.56705
682.00,63.44432
683.00,63.46575
684.00,63.44943
685.00,63.39595
686.00,63.36328
687.00,63.36944
688.00,63.34841
689.00,63.27466
690.00,63.22504
691.00,63.23020
692.00,63.17869
693.00,63.15181
694.00,63.04192
695.00,63.05997
696.00,63.02200
697.00,62.97366
698.00,62.93296
699.00,62.91400
700.00,62.86548
701.00,62.83677
702.00,62.72830
703.00,62.73997
704.00,62.73401
705.00,62.76469
