wl,k
0.2066,2.472
0.2101,2.557
0.2138,2.625
0.2175,2.71
0.2214,2.815
0.2254,2.936
0.2296,3.079
0.2339,3.255
0.2384,3.484
0.2431,3.795
0.248,4.084
0.253,4.047
0.2583,3.77
0.2638,3.452
0.2695,3.169
0.2755,2.919
0.2818,2.563
0.2883,2.26
0.2952,2.069
0.3024,1.969
0.31,1.92
0.3179,1.904
0.3263,1.909
0.3351,1.931
0.3444,1.965
0.3542,2.013
0.3647,2.076
0.3757,2.162
0.3875,2.288
0.3999,2.146
0.4133,1.948
0.4275,1.721
0.4428,0.991
0.4592,0.696
0.4769,0.539
0.4959,0.441
0.5166,0.371
0.5391,0.32
0.5636,0.276
0.5904,0.24
0.6199,0.211
0.6525,0.179
0.6888,0.151
0.7293,0.112
0.7749,0.091
0.8266,0.08
