wl,k
0.2066,2.112
0.2101,2.084
0.2138,2.102
0.2175,2.163
0.2214,2.248
0.2254,2.344
0.2296,2.449
0.2339,2.555
0.2384,2.646
0.2431,2.732
0.248,2.871
0.253,3.081
0.2583,3.349
0.2638,3.575
0.2695,3.581
0.2755,3.445
0.2818,3.042
0.2883,2.478
0.2952,2.099
0.3024,1.903
0.31,1.799
0.3179,1.743
0.3263,1.719
0.3351,1.715
0.3444,1.728
0.3542,1.754
0.3647,1.79
0.3757,1.836
0.3875,1.891
0.3999,1.957
0.4133,2.034
0.4275,2.129
0.4428,2.208
0.4592,2.016
0.4769,1.885
0.4959,1.786
0.5166,1.283
0.5391,0.991
0.5636,0.822
0.5904,0.712
0.6199,0.634
0.6525,0.572
0.6888,0.53
0.7293,0.493
0.7749,0.463
0.8266,0.432
