wl,n
0.207,0.956
0.21,1.01
0.214,1.046
0.218,1.084
0.221,1.144
0.225,1.228
0.23,1.309
0.234,1.354
0.238,1.363
0.243,1.361
0.248,1.368
0.253,1.382
0.258,1.4
0.264,1.432
0.27,1.483
0.276,1.561
0.282,1.689
0.288,1.944
0.295,2.415
0.302,2.956
0.31,3.323
0.318,3.528
0.326,3.642
0.335,3.713
0.344,3.759
0.354,3.783
0.365,3.804
0.376,3.823
0.387,3.825
0.4,3.785
0.413,3.751
0.428,3.74
0.443,3.755
0.459,3.816
0.477,3.946
0.496,4.235
0.517,4.464
0.539,4.455
0.564,4.47
0.59,4.63
0.62,5.197
0.653,5.037
0.689,4.822
0.729,4.644
0.775,4.5
0.827,4.37
0.886,4.27
0.954,4.2
1.033,4.14
1.127,4.096
1.24,4.05
1.378,4.026
1.55,4.01
1.771,3.959
2.066,3.878
2.48,3.846
