wl,n
0.24961,3.02554
0.25184,3.19836
0.25476,3.46011
0.25742,3.59851
0.25979,3.74968
0.2629,3.88834
0.26466,3.91787
0.26644,3.94779
0.27046,3.97665
0.27383,3.96469
0.27846,3.91411
0.28244,3.87378
0.28737,3.80658
0.29465,3.729
0.30278,3.68883
0.31039,3.67616
0.31788,3.67616
0.329,3.7071
0.34329,3.84155
0.35564,4.00669
0.36283,4.13426
0.36892,4.27275
0.37738,4.42574
0.38623,4.57061
0.39004,4.58864
0.39473,4.59041
0.40114,4.54576
0.41002,4.44523
0.42532,4.26053
0.43788,4.15118
0.45538,4.02608
0.47584,3.90357
0.51025,3.7811
0.54396,3.68379
0.57342,3.61762
0.58562,3.60363
0.60605,3.60363
0.60804,3.60363
0.60974,3.60363
0.61222,3.60363
0.61426,3.60363
0.61694,3.60363
0.6198,3.60363
0.62334,3.60363
0.62594,3.60363
0.62971,3.60363
0.63352,3.60363
0.63604,3.60363
0.63908,3.60363
0.64113,3.60363
0.64371,3.60313
0.64613,3.60157
0.64787,3.60045
0.65015,3.59899
0.65209,3.59774
0.65386,3.5966
0.65565,3.59546
0.65762,3.59419
0.65942,3.59231
0.66106,3.58809
0.66307,3.58288
0.66508,3.57768
0.66637,3.57434
0.66674,3.57339
0.66765,3.57103
0.67347,3.55982
0.6746,3.55869
0.67937,3.55398
0.69328,3.51979
0.69974,3.4952
0.70425,3.4799
0.70945,3.46525
0.71448,3.4536
0.72056,3.43863
0.73094,3.4191
0.73902,3.40408
0.74641,3.39356
0.7535,3.38004
0.76347,3.36651
0.77229,3.35599
0.78133,3.34698
0.79205,3.33195
0.79903,3.32594
0.80767,3.31693
0.81861,3.30641
0.83094,3.29439
0.8414,3.28387
0.85328,3.27486
0.86609,3.26584
0.87564,3.25833
0.88418,3.25532
0.89858,3.24631
0.90692,3.2403
0.91675,3.23729
0.92611,3.23129
0.93223,3.23129
0.94262,3.22227
0.95395,3.21926
